Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_IQS,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_IQS,Overall_Precision,Overall_Recall,Overall_F1
1,1KG,512,4,0.05,0.5%~1%,25079,0.993682,0.964776,0.713363,0.849818,0.859258,0.853243,0.988536,0.952514,0.967221,0.980824,0.965852,0.973215
1,1KG,512,4,0.05,1%~10%,44351,0.989484,0.88006,0.89332,0.963237,0.924113,0.936768,0.988536,0.952514,0.967221,0.980824,0.965852,0.973215
1,1KG,512,4,0.05,10%~20%,17825,0.98822,0.951898,0.969565,0.969415,0.962934,0.963799,0.988536,0.952514,0.967221,0.980824,0.965852,0.973215
1,1KG,512,4,0.05,20%~30%,11696,0.985309,0.958716,0.972112,0.976857,0.968701,0.969298,0.988536,0.952514,0.967221,0.980824,0.965852,0.973215
1,1KG,512,4,0.05,30%~40%,9348,0.982494,0.958614,0.970214,0.982345,0.973439,0.975466,0.988536,0.952514,0.967221,0.980824,0.965852,0.973215
1,1KG,512,4,0.05,40%~50%,6780,0.980612,0.957425,0.968287,0.982796,0.976234,0.977935,0.988536,0.952514,0.967221,0.980824,0.965852,0.973215
1,1KG,512,4,0.05,>=50%,1260,0.974634,0.943212,0.958685,0.976838,0.97332,0.973322,0.988536,0.952514,0.967221,0.980824,0.965852,0.973215
1,1KG,512,4,0.15,0.5%~1%,25079,0.992055,0.929636,0.662081,0.821129,0.835451,0.826142,0.978977,0.905739,0.939074,0.973277,0.938389,0.955155
1,1KG,512,4,0.15,1%~10%,44351,0.983115,0.809082,0.845092,0.948807,0.890425,0.909361,0.978977,0.905739,0.939074,0.973277,0.938389,0.955155
1,1KG,512,4,0.15,10%~20%,17825,0.974449,0.889467,0.932786,0.953693,0.932282,0.938734,0.978977,0.905739,0.939074,0.973277,0.938389,0.955155
1,1KG,512,4,0.15,20%~30%,11696,0.968526,0.90376,0.939586,0.963457,0.942904,0.947685,0.978977,0.905739,0.939074,0.973277,0.938389,0.955155
1,1KG,512,4,0.15,30%~40%,9348,0.963952,0.904467,0.93846,0.968644,0.949912,0.954916,0.978977,0.905739,0.939074,0.973277,0.938389,0.955155
1,1KG,512,4,0.15,40%~50%,6780,0.960174,0.901382,0.93518,0.965296,0.954203,0.956177,0.978977,0.905739,0.939074,0.973277,0.938389,0.955155
1,1KG,512,4,0.15,>=50%,1260,0.946732,0.869258,0.914045,0.948348,0.947794,0.94308,0.978977,0.905739,0.939074,0.973277,0.938389,0.955155
1,1KG,512,4,0.25,0.5%~1%,25079,0.989556,0.861157,0.596966,0.784978,0.806986,0.792284,0.965251,0.83616,0.897263,0.962587,0.899923,0.928993
1,1KG,512,4,0.25,1%~10%,44351,0.975222,0.725675,0.78453,0.926756,0.850446,0.874554,0.965251,0.83616,0.897263,0.962587,0.899923,0.928993
