dataset,chr,MAF_bin,n_target,matched,absent_from_panel,allele_mismatch,pct_dropped,panel_markers
1KGP,1,0.1%~0.5%,357366,357366,0,0,0.0,5795045
1KGP,1,0.5%~1%,238160,238160,0,0,0.0,5795045
1KGP,1,1%~10%,484987,484987,0,0,0.0,5795045
1KGP,1,10%~20%,104976,104976,0,0,0.0,5795045
1KGP,1,20%~30%,66409,66409,0,0,0.0,5795045
1KGP,1,30%~40%,52058,52058,0,0,0.0,5795045
1KGP,1,40%~50%,47046,47046,0,0,0.0,5795045
1KGP,2,0.1%~0.5%,392587,392587,0,0,0.0,6356815
1KGP,2,0.5%~1%,254390,254390,0,0,0.0,6356815
1KGP,2,1%~10%,523331,523331,0,0,0.0,6356815
1KGP,2,10%~20%,108697,108697,0,0,0.0,6356815
1KGP,2,20%~30%,70009,70009,0,0,0.0,6356815
1KGP,2,30%~40%,52992,52992,0,0,0.0,6356815
1KGP,2,40%~50%,46248,46248,0,0,0.0,6356815
1KGP,3,0.1%~0.5%,327569,327569,0,0,0.0,5280536
1KGP,3,0.5%~1%,217095,217095,0,0,0.0,5280536
1KGP,3,1%~10%,441748,441748,0,0,0.0,5280536
1KGP,3,10%~20%,98110,98110,0,0,0.0,5280536
1KGP,3,20%~30%,60550,60550,0,0,0.0,5280536
1KGP,3,30%~40%,48896,48896,0,0,0.0,5280536
1KGP,3,40%~50%,42930,42930,0,0,0.0,5280536
1KGP,4,0.1%~0.5%,326690,326690,0,0,0.0,5120664
1KGP,4,0.5%~1%,214523,214523,0,0,0.0,5120664
1KGP,4,1%~10%,441450,441450,0,0,0.0,5120664
1KGP,4,10%~20%,100162,100162,0,0,0.0,5120664
1KGP,4,20%~30%,69482,69482,0,0,0.0,5120664
1KGP,4,30%~40%,49745,49745,0,0,0.0,5120664
1KGP,4,40%~50%,44619,44619,0,0,0.0,5120664
1KGP,5,0.1%~0.5%,305740,305740,0,0,0.0,4788374
1KGP,5,0.5%~1%,200027,200027,0,0,0.0,4788374
1KGP,5,1%~10%,398741,398741,0,0,0.0,4788374
1KGP,5,10%~20%,86592,86592,0,0,0.0,4788374
1KGP,5,20%~30%,57386,57386,0,0,0.0,4788374
1KGP,5,30%~40%,44703,44703,0,0,0.0,4788374
1KGP,5,40%~50%,41441,41441,0,0,0.0,4788374
