dataset,chr,MAF_bin,n_target,matched,absent_from_panel,allele_mismatch,pct_dropped,panel_markers
SGDP,1,0.1%~0.5%,27273,25755,1515,3,5.57,5795045
SGDP,1,0.5%~1%,29039,27612,1426,1,4.91,5795045
SGDP,1,1%~10%,248941,239605,9315,21,3.75,5795045
SGDP,1,10%~20%,132597,128458,4127,12,3.12,5795045
SGDP,1,20%~30%,91915,88879,3034,2,3.3,5795045
SGDP,1,30%~40%,80288,77448,2838,2,3.54,5795045
SGDP,1,40%~50%,73845,71045,2800,0,3.79,5795045
SGDP,2,0.1%~0.5%,28587,27091,1494,2,5.23,6356815
SGDP,2,0.5%~1%,30666,29344,1322,0,4.31,6356815
SGDP,2,1%~10%,267587,258736,8834,17,3.31,6356815
SGDP,2,10%~20%,136704,132617,4084,3,2.99,6356815
SGDP,2,20%~30%,99945,96872,3069,4,3.07,6356815
SGDP,2,30%~40%,87219,83957,3260,2,3.74,6356815
SGDP,2,40%~50%,79653,76614,3036,3,3.82,6356815
SGDP,3,0.1%~0.5%,23827,22752,1072,3,4.51,5280536
SGDP,3,0.5%~1%,25739,24805,932,2,3.63,5280536
SGDP,3,1%~10%,232322,225967,6344,11,2.74,5280536
SGDP,3,10%~20%,122846,119586,3254,6,2.65,5280536
SGDP,3,20%~30%,87214,84837,2376,1,2.73,5280536
SGDP,3,30%~40%,72283,69892,2388,3,3.31,5280536
SGDP,3,40%~50%,69672,67368,2303,1,3.31,5280536
SGDP,4,0.1%~0.5%,22158,21019,1135,4,5.14,5120664
SGDP,4,0.5%~1%,25416,24205,1207,4,4.76,5120664
SGDP,4,1%~10%,231500,224131,7353,16,3.18,5120664
SGDP,4,10%~20%,124202,120690,3503,9,2.83,5120664
SGDP,4,20%~30%,92595,89379,3211,5,3.47,5120664
SGDP,4,30%~40%,78411,75408,2998,5,3.83,5120664
SGDP,4,40%~50%,70899,67878,3019,2,4.26,5120664
SGDP,5,0.1%~0.5%,22040,20938,1101,1,5.0,4788374
SGDP,5,0.5%~1%,24195,23227,967,1,4.0,4788374
SGDP,5,1%~10%,200425,194383,6028,14,3.01,4788374
SGDP,5,10%~20%,104432,101569,2862,1,2.74,4788374
SGDP,5,20%~30%,77190,74958,2227,5,2.89,4788374
SGDP,5,30%~40%,65761,63460,2301,0,3.5,4788374
SGDP,5,40%~50%,62755,60439,2314,2,3.69,4788374
SGDP,6,0.1%~0.5%,21055,20081,973,1,4.63,4539754
SGDP,6,0.5%~1%,21892,20949,939,4,4.31,4539754
SGDP,6,1%~10%,213466,206211,7240,15,3.4,4539754
SGDP,6,10%~20%,113321,109314,3999,8,3.54,4539754
SGDP,6,20%~30%,80902,77175,3722,5,4.61,4539754
SGDP,6,30%~40%,71898,68563,3333,2,4.64,4539754
SGDP,6,40%~50%,65445,62353,3088,4,4.72,4539754
SGDP,7,0.1%~0.5%,18379,17246,1132,1,6.16,4222931
SGDP,7,0.5%~1%,21106,19954,1152,0,5.46,4222931
SGDP,7,1%~10%,186163,178189,7954,20,4.28,4222931
SGDP,7,10%~20%,100879,97290,3584,5,3.56,4222931
SGDP,7,20%~30%,72212,69358,2852,2,3.95,4222931
SGDP,7,30%~40%,64062,61200,2861,1,4.47,4222931
SGDP,7,40%~50%,57109,54457,2650,2,4.64,4222931
SGDP,8,0.1%~0.5%,19749,18736,1013,0,5.13,4162377
SGDP,8,0.5%~1%,20852,20000,851,1,4.09,4162377
SGDP,8,1%~10%,181599,175624,5957,18,3.29,4162377
SGDP,8,10%~20%,90000,87505,2492,3,2.77,4162377
SGDP,8,20%~30%,66504,64399,2100,5,3.17,4162377
SGDP,8,30%~40%,59276,57235,2037,4,3.44,4162377
SGDP,8,40%~50%,55326,53358,1967,1,3.56,4162377
SGDP,9,0.1%~0.5%,14099,13231,868,0,6.16,3178999
SGDP,9,0.5%~1%,14913,14292,619,2,4.16,3178999
SGDP,9,1%~10%,145217,140302,4905,10,3.38,3178999
SGDP,9,10%~20%,73249,70996,2250,3,3.08,3178999
SGDP,9,20%~30%,52536,50656,1878,2,3.58,3178999
SGDP,9,30%~40%,44182,42482,1697,3,3.85,3178999
SGDP,9,40%~50%,40375,38881,1493,1,3.7,3178999
SGDP,10,0.1%~0.5%,16605,15629,975,1,5.88,3632297
SGDP,10,0.5%~1%,17990,17161,827,2,4.61,3632297
SGDP,10,1%~10%,164626,158673,5943,10,3.62,3632297
SGDP,10,10%~20%,87479,84925,2553,1,2.92,3632297
SGDP,10,20%~30%,59653,57715,1937,1,3.25,3632297
SGDP,10,30%~40%,52712,50759,1953,0,3.71,3632297
SGDP,10,40%~50%,49453,47287,2164,2,4.38,3632297
SGDP,11,0.1%~0.5%,16045,15327,714,4,4.47,3642067
SGDP,11,0.5%~1%,18226,17417,807,2,4.44,3642067
SGDP,11,1%~10%,154855,150166,4683,6,3.03,3642067
SGDP,11,10%~20%,82463,79896,2562,5,3.11,3642067
SGDP,11,20%~30%,60280,58219,2059,2,3.42,3642067
SGDP,11,30%~40%,52717,50671,2046,0,3.88,3642067
SGDP,11,40%~50%,49853,47783,2069,1,4.15,3642067
SGDP,12,0.1%~0.5%,15841,15119,721,1,4.56,3500318
