Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1
Beagle,1KGP,-1,0,0.05,0.1%~0.5%,62625,0.996099667,0.898945333,0.747699,0.748450667,0.748039667,0.953492,0.921182,0.749124,0.749074333,0.749095667
Beagle,1KGP,-1,0,0.05,0.5%~1%,41501,0.992689,0.898143333,0.748856333,0.749396667,0.749119667,0.953492,0.921182,0.749124,0.749074333,0.749095667
Beagle,1KGP,-1,0,0.05,1%~10%,90533,0.970260333,0.912213333,0.749942667,0.749719,0.749824,0.953492,0.921182,0.749124,0.749074333,0.749095667
Beagle,1KGP,-1,0,0.05,10%~20%,17410,0.883068667,0.909497667,0.750068333,0.750012,0.750037,0.953492,0.921182,0.749124,0.749074333,0.749095667
Beagle,1KGP,-1,0,0.05,20%~30%,11479,0.823822333,0.87579,0.748419667,0.748448667,0.748432,0.953492,0.921182,0.749124,0.749074333,0.749095667
Beagle,1KGP,-1,0,0.05,30%~40%,9555,0.785884667,0.850553,0.748164,0.748237333,0.7482,0.953492,0.921182,0.749124,0.749074333,0.749095667
Beagle,1KGP,-1,0,0.05,40%~50%,8010,0.766588333,0.830455333,0.748426333,0.748525,0.748463333,0.953492,0.921182,0.749124,0.749074333,0.749095667
Beagle,1KGP,-1,0,0.15,0.1%~0.5%,62625,0.996013,0.892456333,0.745445,0.745699333,0.745542,0.953300667,0.919421333,0.749015,0.748650333,0.748828333
Beagle,1KGP,-1,0,0.15,0.5%~1%,41501,0.992448,0.889025333,0.744444333,0.743014333,0.743724667,0.953300667,0.919421333,0.749015,0.748650333,0.748828333
Beagle,1KGP,-1,0,0.15,1%~10%,90533,0.969850667,0.908454667,0.748359667,0.747393333,0.747868667,0.953300667,0.919421333,0.749015,0.748650333,0.748828333
Beagle,1KGP,-1,0,0.15,10%~20%,17410,0.882751667,0.907905333,0.749977667,0.749756333,0.749863333,0.953300667,0.919421333,0.749015,0.748650333,0.748828333
Beagle,1KGP,-1,0,0.15,20%~30%,11479,0.824378667,0.874633333,0.749347333,0.749455667,0.749399,0.953300667,0.919421333,0.749015,0.748650333,0.748828333
Beagle,1KGP,-1,0,0.15,30%~40%,9555,0.786047,0.849120667,0.748274667,0.748547333,0.748406667,0.953300667,0.919421333,0.749015,0.748650333,0.748828333
Beagle,1KGP,-1,0,0.15,40%~50%,8010,0.767084333,0.829157,0.748773667,0.749121333,0.748935,0.953300667,0.919421333,0.749015,0.748650333,0.748828333
Beagle,1KGP,-1,0,0.25,0.1%~0.5%,62625,0.995764333,0.869816333,0.741103333,0.73181,0.736323667,0.952652667,0.916343333,0.746812667,0.745766333,0.746281667
Beagle,1KGP,-1,0,0.25,0.5%~1%,41501,0.992208667,0.877783,0.741425,0.736668667,0.739002667,0.952652667,0.916343333,0.746812667,0.745766333,0.746281667
Beagle,1KGP,-1,0,0.25,1%~10%,90533,0.96914,0.903288333,0.744661333,0.742495667,0.743557667,0.952652667,0.916343333,0.746812667,0.745766333,0.746281667
Beagle,1KGP,-1,0,0.25,10%~20%,17410,0.881463667,0.905161667,0.747923333,0.747444667,0.747679667,0.952652667,0.916343333,0.746812667,0.745766333,0.746281667
Beagle,1KGP,-1,0,0.25,20%~30%,11479,0.822061333,0.871195,0.746166667,0.746386333,0.746268333,0.952652667,0.916343333,0.746812667,0.745766333,0.746281667
Beagle,1KGP,-1,0,0.25,30%~40%,9555,0.784897,0.846327333,0.746752333,0.747330667,0.747036,0.952652667,0.916343333,0.746812667,0.745766333,0.746281667
Beagle,1KGP,-1,0,0.25,40%~50%,8010,0.766298333,0.826414,0.747594333,0.748346,0.747958667,0.952652667,0.916343333,0.746812667,0.745766333,0.746281667
SCDA,1KGP,-1,0,0.05,0.1%~0.5%,62625,0.994524,0.634978,0.841371,0.752054333,0.789056,0.985665333,0.933158333,0.956689333,0.952338333,0.954504333
SCDA,1KGP,-1,0,0.05,0.5%~1%,41501,0.991404333,0.681269333,0.886787667,0.772611,0.820018667,0.985665333,0.933158333,0.956689333,0.952338333,0.954504333
SCDA,1KGP,-1,0,0.05,1%~10%,90533,0.983928333,0.869108667,0.940115,0.904535667,0.921684333,0.985665333,0.933158333,0.956689333,0.952338333,0.954504333
SCDA,1KGP,-1,0,0.05,10%~20%,17410,0.974835,0.946503,0.959122333,0.970883,0.964878333,0.985665333,0.933158333,0.956689333,0.952338333,0.954504333
SCDA,1KGP,-1,0,0.05,20%~30%,11479,0.970988,0.942778333,0.964154,0.973565667,0.968695,0.985665333,0.933158333,0.956689333,0.952338333,0.954504333
SCDA,1KGP,-1,0,0.05,30%~40%,9555,0.970410333,0.941092333,0.968050667,0.972978667,0.970298667,0.985665333,0.933158333,0.956689333,0.952338333,0.954504333
SCDA,1KGP,-1,0,0.05,40%~50%,8010,0.969071667,0.935182667,0.968379667,0.970166667,0.968974333,0.985665333,0.933158333,0.956689333,0.952338333,0.954504333
SCDA,1KGP,-1,0,0.15,0.1%~0.5%,62625,0.994414,0.624566667,0.828656333,0.759004333,0.788606333,0.983395333,0.920708,0.954456667,0.938821,0.946513
SCDA,1KGP,-1,0,0.15,0.5%~1%,41501,0.990712333,0.652538,0.87234,0.755740333,0.803375,0.983395333,0.920708,0.954456667,0.938821,0.946513
SCDA,1KGP,-1,0,0.15,1%~10%,90533,0.981302,0.845753,0.936801333,0.881548333,0.907528667,0.983395333,0.920708,0.954456667,0.938821,0.946513
SCDA,1KGP,-1,0,0.15,10%~20%,17410,0.969182333,0.932161667,0.956580667,0.956806333,0.95669,0.983395333,0.920708,0.954456667,0.938821,0.946513
SCDA,1KGP,-1,0,0.15,20%~30%,11479,0.964976,0.928454333,0.960266,0.963528333,0.961868,0.983395333,0.920708,0.954456667,0.938821,0.946513
SCDA,1KGP,-1,0,0.15,30%~40%,9555,0.964418333,0.926951333,0.962965333,0.965397,0.964126,0.983395333,0.920708,0.954456667,0.938821,0.946513
SCDA,1KGP,-1,0,0.15,40%~50%,8010,0.962921667,0.919647333,0.962337667,0.963484,0.962824,0.983395333,0.920708,0.954456667,0.938821,0.946513
SCDA,1KGP,-1,0,0.25,0.1%~0.5%,62625,0.993425333,0.554221333,0.787460333,0.711939667,0.742052667,0.979187667,0.896700333,0.949896,0.915361333,0.932011333
SCDA,1KGP,-1,0,0.25,0.5%~1%,41501,0.989564667,0.605109667,0.846998333,0.726232,0.773871333,0.979187667,0.896700333,0.949896,0.915361333,0.932011333
SCDA,1KGP,-1,0,0.25,1%~10%,90533,0.977341333,0.809658,0.930234333,0.847862,0.885208,0.979187667,0.896700333,0.949896,0.915361333,0.932011333
SCDA,1KGP,-1,0,0.25,10%~20%,17410,0.958580333,0.904337,0.951083667,0.932747333,0.94168,0.979187667,0.896700333,0.949896,0.915361333,0.932011333
SCDA,1KGP,-1,0,0.25,20%~30%,11479,0.952861,0.899026,0.952449,0.944880667,0.948587,0.979187667,0.896700333,0.949896,0.915361333,0.932011333
SCDA,1KGP,-1,0,0.25,30%~40%,9555,0.951983,0.895835667,0.952905667,0.950519,0.951665667,0.979187667,0.896700333,0.949896,0.915361333,0.932011333
SCDA,1KGP,-1,0,0.25,40%~50%,8010,0.949948,0.885646667,0.950326667,0.949676,0.949959667,0.979187667,0.896700333,0.949896,0.915361333,0.932011333
BiUNet,1KGP,128,16,0.05,0.1%~0.5%,62625,0.999958667,0.996598333,0.998361667,0.998413333,0.998387,0.999064,0.995743333,0.997154667,0.996392,0.996773333
BiUNet,1KGP,128,16,0.05,0.5%~1%,41501,0.999907667,0.996475333,0.997475333,0.998851667,0.998162333,0.999064,0.995743333,0.997154667,0.996392,0.996773333
