Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1,MAF_bin
SCDA,1KGP,-1,0,0.05,0.1%~0.5%,62625,0.994524,0.634978,0.841371,0.752054333,0.789056,0.985665333,0.933158333,0.956689333,0.952338333,0.954504333,
SCDA,1KGP,-1,0,0.05,0.5%~1%,41501,0.991404333,0.681269333,0.886787667,0.772611,0.820018667,0.985665333,0.933158333,0.956689333,0.952338333,0.954504333,
SCDA,1KGP,-1,0,0.05,1%~10%,90533,0.983928333,0.869108667,0.940115,0.904535667,0.921684333,0.985665333,0.933158333,0.956689333,0.952338333,0.954504333,
SCDA,1KGP,-1,0,0.05,10%~20%,17410,0.974835,0.946503,0.959122333,0.970883,0.964878333,0.985665333,0.933158333,0.956689333,0.952338333,0.954504333,
SCDA,1KGP,-1,0,0.05,20%~30%,11479,0.970988,0.942778333,0.964154,0.973565667,0.968695,0.985665333,0.933158333,0.956689333,0.952338333,0.954504333,
SCDA,1KGP,-1,0,0.05,30%~40%,9555,0.970410333,0.941092333,0.968050667,0.972978667,0.970298667,0.985665333,0.933158333,0.956689333,0.952338333,0.954504333,
SCDA,1KGP,-1,0,0.05,40%~50%,8010,0.969071667,0.935182667,0.968379667,0.970166667,0.968974333,0.985665333,0.933158333,0.956689333,0.952338333,0.954504333,
SCDA,1KGP,-1,0,0.15,0.1%~0.5%,62625,0.994414,0.624566667,0.828656333,0.759004333,0.788606333,0.983395333,0.920708,0.954456667,0.938821,0.946513,
SCDA,1KGP,-1,0,0.15,0.5%~1%,41501,0.990712333,0.652538,0.87234,0.755740333,0.803375,0.983395333,0.920708,0.954456667,0.938821,0.946513,
SCDA,1KGP,-1,0,0.15,1%~10%,90533,0.981302,0.845753,0.936801333,0.881548333,0.907528667,0.983395333,0.920708,0.954456667,0.938821,0.946513,
SCDA,1KGP,-1,0,0.15,10%~20%,17410,0.969182333,0.932161667,0.956580667,0.956806333,0.95669,0.983395333,0.920708,0.954456667,0.938821,0.946513,
SCDA,1KGP,-1,0,0.15,20%~30%,11479,0.964976,0.928454333,0.960266,0.963528333,0.961868,0.983395333,0.920708,0.954456667,0.938821,0.946513,
SCDA,1KGP,-1,0,0.15,30%~40%,9555,0.964418333,0.926951333,0.962965333,0.965397,0.964126,0.983395333,0.920708,0.954456667,0.938821,0.946513,
SCDA,1KGP,-1,0,0.15,40%~50%,8010,0.962921667,0.919647333,0.962337667,0.963484,0.962824,0.983395333,0.920708,0.954456667,0.938821,0.946513,
SCDA,1KGP,-1,0,0.25,0.1%~0.5%,62625,0.993425333,0.554221333,0.787460333,0.711939667,0.742052667,0.979187667,0.896700333,0.949896,0.915361333,0.932011333,
SCDA,1KGP,-1,0,0.25,0.5%~1%,41501,0.989564667,0.605109667,0.846998333,0.726232,0.773871333,0.979187667,0.896700333,0.949896,0.915361333,0.932011333,
SCDA,1KGP,-1,0,0.25,1%~10%,90533,0.977341333,0.809658,0.930234333,0.847862,0.885208,0.979187667,0.896700333,0.949896,0.915361333,0.932011333,
SCDA,1KGP,-1,0,0.25,10%~20%,17410,0.958580333,0.904337,0.951083667,0.932747333,0.94168,0.979187667,0.896700333,0.949896,0.915361333,0.932011333,
SCDA,1KGP,-1,0,0.25,20%~30%,11479,0.952861,0.899026,0.952449,0.944880667,0.948587,0.979187667,0.896700333,0.949896,0.915361333,0.932011333,
SCDA,1KGP,-1,0,0.25,30%~40%,9555,0.951983,0.895835667,0.952905667,0.950519,0.951665667,0.979187667,0.896700333,0.949896,0.915361333,0.932011333,
SCDA,1KGP,-1,0,0.25,40%~50%,8010,0.949948,0.885646667,0.950326667,0.949676,0.949959667,0.979187667,0.896700333,0.949896,0.915361333,0.932011333,
BiUNet,1KGP,128,16,0.05,,62625,0.9999401956543188,0.9939369196206392,0.9961489808983658,0.9995500308397512,0.9978442217092136,0.999102309427861,0.988773600697273,0.9969022168842868,0.9970500322982044,0.9969761117604362, 0.1%~0.5%
BiUNet,1KGP,128,16,0.05,,41501,0.9998647703115496,0.9918158488806464,0.9957457803107445,0.9991918233595698,0.9974633129284144,0.999102309427861,0.988773600697273,0.9969022168842868,0.9970500322982044,0.9969761117604362, 0.5%~1%
BiUNet,1KGP,128,16,0.05,,90533,0.9988740949826542,0.9815308739939612,0.9956576624891614,0.9935750698607712,0.9946142788455689,0.999102309427861,0.988773600697273,0.9969022168842868,0.9970500322982044,0.9969761117604362, 1%~10%
BiUNet,1KGP,128,16,0.05,,17410,0.9980032016912618,0.9917171979163109,0.9968604880926502,0.9973775453281476,0.9971188318224842,0.999102309427861,0.988773600697273,0.9969022168842868,0.9970500322982044,0.9969761117604362, 10%~20%
BiUNet,1KGP,128,16,0.05,,11479,0.9976203859784292,0.9934002037367607,0.9970935139148502,0.9975748757071756,0.997333881225255,0.999102309427861,0.988773600697273,0.9969022168842868,0.9970500322982044,0.9969761117604362, 20%~30%
BiUNet,1KGP,128,16,0.05,,9555,0.9975980564790994,0.994476216546093,0.9974347264999776,0.9976531011226266,0.9975435590468812,0.999102309427861,0.988773600697273,0.9969022168842868,0.9970500322982044,0.9969761117604362, 30%~40%
BiUNet,1KGP,128,16,0.05,,8010,0.9974874562690174,0.9946837113697848,0.9974354157782352,0.9975146546406408,0.9974745123104166,0.999102309427861,0.988773600697273,0.9969022168842868,0.9970500322982044,0.9969761117604362, 40%~50%
Beagle,1KGP,-1,0,0.05,,62625,0.9960703384106312,0.931388268462152,0.745708562665273,0.7464486693659683,0.7460687825794189,0.9532057598728736,0.8629936736974244,0.7475729252590533,0.7475260675923324,0.747545249479094, 0.1%~0.5%
Beagle,1KGP,-1,0,0.05,,41501,0.9924972260048156,0.8715276275369117,0.7422588398740313,0.7427901101793122,0.7425242286464112,0.9532057598728736,0.8629936736974244,0.7475729252590533,0.7475260675923324,0.747545249479094, 0.5%~1%
Beagle,1KGP,-1,0,0.05,,90533,0.9700876251287316,0.8313993513224616,0.7484813916609463,0.7482625026555677,0.7483605157297915,0.9532057598728736,0.8629936736974244,0.7475729252590533,0.7475260675923324,0.747545249479094, 1%~10%
Beagle,1KGP,-1,0,0.05,,17410,0.8826750501765734,0.8251115999227828,0.749224516941264,0.7491693002012327,0.7491921128850285,0.9532057598728736,0.8629936736974244,0.7475729252590533,0.7475260675923324,0.747545249479094, 10%~20%
Beagle,1KGP,-1,0,0.05,,11479,0.8229102109754397,0.8241940540304372,0.7471175004819327,0.7471496571037849,0.7471297510384549,0.9532057598728736,0.8629936736974244,0.7475729252590533,0.7475260675923324,0.747545249479094, 20%~30%
Beagle,1KGP,-1,0,0.05,,9555,0.7863491930846629,0.8262802624631546,0.7487067806450795,0.7487835122540466,0.7487448736228763,0.9532057598728736,0.8629936736974244,0.7475729252590533,0.7475260675923324,0.747545249479094, 30%~40%
Beagle,1KGP,-1,0,0.05,,8010,0.7627590037168368,0.8228755781988233,0.7442950819065539,0.7443950988954303,0.7443354855950536,0.9532057598728736,0.8629936736974244,0.7475729252590533,0.7475260675923324,0.747545249479094, 40%~50%
BiUNet,1KGP,128,16,0.15,,62625,0.9994149495685436,0.9595184135242828,0.9884688650882646,0.971927188220516,0.9800473130799742,0.9965930178770602,0.9361605361045802,0.990121576727689,0.9873595213111526,0.988735133471345, 0.1%~0.5%
BiUNet,1KGP,128,16,0.15,,41501,0.9980364209465656,0.8959429041029712,0.9863622700132876,0.9422484048009756,0.9632894023361176,0.9965930178770602,0.9361605361045802,0.990121576727689,0.9873595213111526,0.988735133471345, 0.5%~1%
BiUNet,1KGP,128,16,0.15,,90533,0.9959805006085842,0.9168205193070532,0.9866000843225328,0.9750855041703232,0.9807735186866132,0.9965930178770602,0.9361605361045802,0.990121576727689,0.9873595213111526,0.988735133471345, 1%~10%
BiUNet,1KGP,128,16,0.15,,17410,0.9934797754011396,0.9732038543131668,0.9898091248791644,0.9914094414082572,0.9906075874456614,0.9965930178770602,0.9361605361045802,0.990121576727689,0.9873595213111526,0.988735133471345, 10%~20%
BiUNet,1KGP,128,16,0.15,,11479,0.9923868250735266,0.9789539125919368,0.9907898964395654,0.9921080706351468,0.9914466224197428,0.9965930178770602,0.9361605361045802,0.990121576727689,0.9873595213111526,0.988735133471345, 20%~30%
