Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1
Beagle,HLA,-1,0,0.05,0.1%~0.5%,385,0.984651667,0.880213667,0.724959667,0.7293,0.719825333,0.885174333,0.913677,0.751280333,0.751265667,0.751267333
Beagle,HLA,-1,0,0.05,0.5%~1%,608,0.979403333,0.801576333,0.712267,0.713722667,0.710689,0.885174333,0.913677,0.751280333,0.751265667,0.751267333
Beagle,HLA,-1,0,0.05,1%~10%,15186,0.95382,0.921997333,0.747701333,0.747812333,0.747594667,0.885174333,0.913677,0.751280333,0.751265667,0.751267333
Beagle,HLA,-1,0,0.05,10%~20%,8291,0.888048667,0.920158,0.746646,0.746592667,0.746580333,0.885174333,0.913677,0.751280333,0.751265667,0.751267333
Beagle,HLA,-1,0,0.05,20%~30%,6297,0.84406,0.897621,0.753927333,0.753893,0.753907667,0.885174333,0.913677,0.751280333,0.751265667,0.751267333
Beagle,HLA,-1,0,0.05,30%~40%,5390,0.811384667,0.873565,0.752589333,0.752605,0.752574333,0.885174333,0.913677,0.751280333,0.751265667,0.751267333
Beagle,HLA,-1,0,0.05,40%~50%,5139,0.786855333,0.85155,0.753813333,0.753836667,0.753803,0.885174333,0.913677,0.751280333,0.751265667,0.751267333
Beagle,HLA,-1,0,0.15,0.1%~0.5%,385,0.984651667,0.871860333,0.730328,0.731531333,0.724760667,0.883113667,0.911260333,0.747228667,0.747133,0.747134
Beagle,HLA,-1,0,0.15,0.5%~1%,608,0.981957667,0.817431,0.749134,0.750293,0.748282667,0.883113667,0.911260333,0.747228667,0.747133,0.747134
Beagle,HLA,-1,0,0.15,1%~10%,15186,0.954207667,0.921531667,0.750412,0.750423,0.75037,0.883113667,0.911260333,0.747228667,0.747133,0.747134
