Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1,MAF_bin
SCDA,HLA,-1,0,0.05,0.1%~0.5%,427,0.973085333,0.439205333,0.732442333,0.601914333,0.633411,0.969939667,0.947132667,0.955241,0.949377333,0.952281333,
SCDA,HLA,-1,0,0.05,0.5%~1%,680,0.968471667,0.199668,0.612421,0.507262667,0.532306333,0.969939667,0.947132667,0.955241,0.949377333,0.952281333,
SCDA,HLA,-1,0,0.05,1%~10%,16799,0.972722667,0.884494,0.91315,0.886419333,0.899229333,0.969939667,0.947132667,0.955241,0.949377333,0.952281333,
SCDA,HLA,-1,0,0.05,10%~20%,9609,0.965455333,0.943705,0.944899,0.939402333,0.942120667,0.969939667,0.947132667,0.955241,0.949377333,0.952281333,
SCDA,HLA,-1,0,0.05,20%~30%,7631,0.968214667,0.952741667,0.960117,0.958864,0.959487667,0.969939667,0.947132667,0.955241,0.949377333,0.952281333,
SCDA,HLA,-1,0,0.05,30%~40%,6170,0.970649667,0.953375333,0.967140333,0.966670333,0.966902,0.969939667,0.947132667,0.955241,0.949377333,0.952281333,
SCDA,HLA,-1,0,0.05,40%~50%,6424,0.970684,0.952164667,0.969118,0.969051333,0.969082667,0.969939667,0.947132667,0.955241,0.949377333,0.952281333,
SCDA,HLA,-1,0,0.15,0.1%~0.5%,427,0.962884,0.297313333,0.560426333,0.606071667,0.571744333,0.949233,0.900461333,0.924907667,0.920261,0.922568,
SCDA,HLA,-1,0,0.15,0.5%~1%,680,0.956851667,0.117516667,0.450839,0.464925667,0.438927333,0.949233,0.900461333,0.924907667,0.920261,0.922568,
SCDA,HLA,-1,0,0.15,1%~10%,16799,0.954405667,0.790642667,0.842027333,0.840213667,0.841051,0.949233,0.900461333,0.924907667,0.920261,0.922568,
SCDA,HLA,-1,0,0.15,10%~20%,9609,0.940973333,0.891402667,0.909046333,0.902940667,0.905952,0.949233,0.900461333,0.924907667,0.920261,0.922568,
SCDA,HLA,-1,0,0.15,20%~30%,7631,0.944980333,0.908093,0.933592,0.930736667,0.932151,0.949233,0.900461333,0.924907667,0.920261,0.922568,
SCDA,HLA,-1,0,0.15,30%~40%,6170,0.949766667,0.912245,0.945626667,0.943415667,0.944497333,0.949233,0.900461333,0.924907667,0.920261,0.922568,
SCDA,HLA,-1,0,0.15,40%~50%,6424,0.950886,0.910950667,0.949254667,0.948348333,0.948762333,0.949233,0.900461333,0.924907667,0.920261,0.922568,
SCDA,HLA,-1,0,0.25,0.1%~0.5%,427,0.941665,0.179242,0.431838667,0.606808,0.485405,0.920053333,0.825996333,0.882805333,0.883192667,0.882992667,
SCDA,HLA,-1,0,0.25,0.5%~1%,680,0.936363667,0.061668667,0.368172,0.457231333,0.384808667,0.920053333,0.825996333,0.882805333,0.883192667,0.882992667,
SCDA,HLA,-1,0,0.25,1%~10%,16799,0.928403,0.658045,0.749382,0.791383333,0.769373333,0.920053333,0.825996333,0.882805333,0.883192667,0.882992667,
SCDA,HLA,-1,0,0.25,10%~20%,9609,0.908327667,0.812376,0.861781667,0.860003667,0.860853333,0.920053333,0.825996333,0.882805333,0.883192667,0.882992667,
