Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1
Beagle,LOS,-1,0,0.05,0.1%~0.5%,80535,0.996884667,0.896757667,0.749323333,0.750029333,0.749669,0.956213667,0.919083667,0.749419333,0.749372667,0.749395667
Beagle,LOS,-1,0,0.05,0.5%~1%,43321,0.992925667,0.897808333,0.749573,0.749049333,0.749308667,,,,,
Beagle,LOS,-1,0,0.05,1%~10%,87563,0.970664667,0.907039333,0.749963333,0.749762333,0.749862667,,,,,
Beagle,LOS,-1,0,0.05,10%~20%,17259,0.879394667,0.905346,0.74895,0.748925667,0.748937333,,,,,
Beagle,LOS,-1,0,0.05,20%~30%,11414,0.818268667,0.871738667,0.748929667,0.748962667,0.748945667,,,,,
Beagle,LOS,-1,0,0.05,30%~40%,9073,0.778008,0.841158333,0.749028667,0.749088333,0.749058667,,,,,
Beagle,LOS,-1,0,0.05,40%~50%,8187,0.759063667,0.820653,0.749337667,0.749424,0.749381,,,,,
Beagle,LOS,-1,0,0.15,0.1%~0.5%,80535,0.996769333,0.883420333,0.746903,0.744170333,0.74552,0.955835,0.916552333,0.748483667,0.748177,0.748329333
Beagle,LOS,-1,0,0.15,0.5%~1%,43321,0.992754333,0.890184333,0.747130667,0.745524333,0.746320333,0.955835,0.916552333,0.748483667,0.748177,0.748329333
Beagle,LOS,-1,0,0.15,1%~10%,87563,0.970276667,0.902891333,0.748677667,0.747880333,0.748276667,0.955835,0.916552333,0.748483667,0.748177,0.748329333
Beagle,LOS,-1,0,0.15,10%~20%,17259,0.878886667,0.903049,0.748809,0.748671,0.74874,0.955835,0.916552333,0.748483667,0.748177,0.748329333
Beagle,LOS,-1,0,0.15,20%~30%,11414,0.817083333,0.868796667,0.747645333,0.747786667,0.747715333,0.955835,0.916552333,0.748483667,0.748177,0.748329333
Beagle,LOS,-1,0,0.15,30%~40%,9073,0.776649,0.837879,0.747499,0.747766333,0.747631667,0.955835,0.916552333,0.748483667,0.748177,0.748329333
Beagle,LOS,-1,0,0.15,40%~50%,8187,0.757576333,0.817154,0.747574333,0.747943,0.747757333,0.955835,0.916552333,0.748483667,0.748177,0.748329333
Beagle,LOS,-1,0,0.25,0.1%~0.5%,80535,0.996664,0.870925667,0.745214333,0.739237333,0.742181667,0.955375667,0.913451667,0.747289,0.746566667,0.746924333
Beagle,LOS,-1,0,0.25,0.5%~1%,43321,0.992587667,0.881262667,0.745806,0.742325333,0.744042667,0.955375667,0.913451667,0.747289,0.746566667,0.746924333
Beagle,LOS,-1,0,0.25,1%~10%,87563,0.969717333,0.897527667,0.746338667,0.744536667,0.745429,0.955375667,0.913451667,0.747289,0.746566667,0.746924333
Beagle,LOS,-1,0,0.25,10%~20%,17259,0.877620667,0.899696667,0.747258667,0.746901667,0.747077667,0.955375667,0.913451667,0.747289,0.746566667,0.746924333
Beagle,LOS,-1,0,0.25,20%~30%,11414,0.815762667,0.865206,0.746185667,0.746465,0.746323,0.955375667,0.913451667,0.747289,0.746566667,0.746924333
Beagle,LOS,-1,0,0.25,30%~40%,9073,0.77564,0.834236333,0.746241667,0.746854667,0.746545667,0.955375667,0.913451667,0.747289,0.746566667,0.746924333
Beagle,LOS,-1,0,0.25,40%~50%,8187,0.756672333,0.813425333,0.746266667,0.747073667,0.746667333,0.955375667,0.913451667,0.747289,0.746566667,0.746924333
SCDA,LOS,-1,0,0.05,0.1%~0.5%,80535,0.999250333,0.935404667,0.991616333,0.941124333,0.965128667,0.997477,0.988115,0.990891,0.990562667,0.990726333
SCDA,LOS,-1,0,0.05,0.5%~1%,43321,0.998775333,0.955221,0.991371333,0.958455,0.974408333,0.997477,0.988115,0.990891,0.990562667,0.990726333
SCDA,LOS,-1,0,0.05,1%~10%,87563,0.997700667,0.981675333,0.990179667,0.985156333,0.987658333,0.997477,0.988115,0.990891,0.990562667,0.990726333
SCDA,LOS,-1,0,0.05,10%~20%,17259,0.994269,0.988565,0.990376667,0.993129333,0.991745333,0.997477,0.988115,0.990891,0.990562667,0.990726333
SCDA,LOS,-1,0,0.05,20%~30%,11414,0.992333,0.985974333,0.990442333,0.992882333,0.991650333,0.997477,0.988115,0.990891,0.990562667,0.990726333
SCDA,LOS,-1,0,0.05,30%~40%,9073,0.991504333,0.983996,0.990875667,0.992066667,0.991456333,0.997477,0.988115,0.990891,0.990562667,0.990726333
SCDA,LOS,-1,0,0.05,40%~50%,8187,0.991329,0.982804,0.991197,0.991475667,0.991318667,0.997477,0.988115,0.990891,0.990562667,0.990726333
SCDA,LOS,-1,0,0.15,0.1%~0.5%,80535,0.998631,0.880925333,0.986479333,0.894459333,0.935948667,0.995291,0.977243333,0.987315667,0.979046,0.983145667
SCDA,LOS,-1,0,0.15,0.5%~1%,43321,0.997654333,0.912779333,0.986629,0.921615333,0.951947,0.995291,0.977243333,0.987315667,0.979046,0.983145667
SCDA,LOS,-1,0,0.15,1%~10%,87563,0.994999,0.958913,0.985764,0.963727333,0.974508333,0.995291,0.977243333,0.987315667,0.979046,0.983145667
SCDA,LOS,-1,0,0.15,10%~20%,17259,0.989773333,0.979015,0.986344333,0.984617333,0.985478667,0.995291,0.977243333,0.987315667,0.979046,0.983145667
SCDA,LOS,-1,0,0.15,20%~30%,11414,0.987321667,0.976225333,0.986016,0.986361667,0.986188667,0.995291,0.977243333,0.987315667,0.979046,0.983145667
SCDA,LOS,-1,0,0.15,30%~40%,9073,0.986115333,0.973165667,0.985823667,0.986220667,0.986020333,0.995291,0.977243333,0.987315667,0.979046,0.983145667
SCDA,LOS,-1,0,0.15,40%~50%,8187,0.985962333,0.971364333,0.985888333,0.986011333,0.985946333,0.995291,0.977243333,0.987315667,0.979046,0.983145667
SCDA,LOS,-1,0,0.25,0.1%~0.5%,80535,0.998172333,0.839390333,0.976873667,0.863684,0.913032,0.992228,0.961383,0.982557333,0.962656667,0.972397667
SCDA,LOS,-1,0,0.25,0.5%~1%,43321,0.996383333,0.864219,0.979187667,0.880443,0.924443333,0.992228,0.961383,0.982557333,0.962656667,0.972397667
SCDA,LOS,-1,0,0.25,1%~10%,87563,0.991446,0.928252,0.980206,0.935027333,0.956551,0.992228,0.961383,0.982557333,0.962656667,0.972397667
SCDA,LOS,-1,0,0.25,10%~20%,17259,0.982354,0.962616667,0.980479,0.970128667,0.975222,0.992228,0.961383,0.982557333,0.962656667,0.972397667
SCDA,LOS,-1,0,0.25,20%~30%,11414,0.978714667,0.958679667,0.979096333,0.974951667,0.976995,0.992228,0.961383,0.982557333,0.962656667,0.972397667
SCDA,LOS,-1,0,0.25,30%~40%,9073,0.976923,0.953922,0.977584333,0.976129667,0.976838,0.992228,0.961383,0.982557333,0.962656667,0.972397667
SCDA,LOS,-1,0,0.25,40%~50%,8187,0.976744333,0.950914333,0.976933333,0.976594667,0.976747,0.992228,0.961383,0.982557333,0.962656667,0.972397667
BiUNet,LOS,128,16,0.05,0.1%~0.5%,80535,0.999926,0.993650667,0.998671,0.994605,0.996630667,0.998607667,0.993248667,0.996212,0.99367,0.994937
