Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1,MAF_bin
SCDA,LOS,-1,0,0.05,0.1%~0.5%,80535,0.999250333,0.935404667,0.991616333,0.941124333,0.965128667,0.997477,0.988115,0.990891,0.990562667,0.990726333,
SCDA,LOS,-1,0,0.05,0.5%~1%,43321,0.998775333,0.955221,0.991371333,0.958455,0.974408333,0.997477,0.988115,0.990891,0.990562667,0.990726333,
SCDA,LOS,-1,0,0.05,1%~10%,87563,0.997700667,0.981675333,0.990179667,0.985156333,0.987658333,0.997477,0.988115,0.990891,0.990562667,0.990726333,
SCDA,LOS,-1,0,0.05,10%~20%,17259,0.994269,0.988565,0.990376667,0.993129333,0.991745333,0.997477,0.988115,0.990891,0.990562667,0.990726333,
SCDA,LOS,-1,0,0.05,20%~30%,11414,0.992333,0.985974333,0.990442333,0.992882333,0.991650333,0.997477,0.988115,0.990891,0.990562667,0.990726333,
SCDA,LOS,-1,0,0.05,30%~40%,9073,0.991504333,0.983996,0.990875667,0.992066667,0.991456333,0.997477,0.988115,0.990891,0.990562667,0.990726333,
SCDA,LOS,-1,0,0.05,40%~50%,8187,0.991329,0.982804,0.991197,0.991475667,0.991318667,0.997477,0.988115,0.990891,0.990562667,0.990726333,
SCDA,LOS,-1,0,0.15,0.1%~0.5%,80535,0.998631,0.880925333,0.986479333,0.894459333,0.935948667,0.995291,0.977243333,0.987315667,0.979046,0.983145667,
SCDA,LOS,-1,0,0.15,0.5%~1%,43321,0.997654333,0.912779333,0.986629,0.921615333,0.951947,0.995291,0.977243333,0.987315667,0.979046,0.983145667,
SCDA,LOS,-1,0,0.15,1%~10%,87563,0.994999,0.958913,0.985764,0.963727333,0.974508333,0.995291,0.977243333,0.987315667,0.979046,0.983145667,
SCDA,LOS,-1,0,0.15,10%~20%,17259,0.989773333,0.979015,0.986344333,0.984617333,0.985478667,0.995291,0.977243333,0.987315667,0.979046,0.983145667,
SCDA,LOS,-1,0,0.15,20%~30%,11414,0.987321667,0.976225333,0.986016,0.986361667,0.986188667,0.995291,0.977243333,0.987315667,0.979046,0.983145667,
SCDA,LOS,-1,0,0.15,30%~40%,9073,0.986115333,0.973165667,0.985823667,0.986220667,0.986020333,0.995291,0.977243333,0.987315667,0.979046,0.983145667,
SCDA,LOS,-1,0,0.15,40%~50%,8187,0.985962333,0.971364333,0.985888333,0.986011333,0.985946333,0.995291,0.977243333,0.987315667,0.979046,0.983145667,
SCDA,LOS,-1,0,0.25,0.1%~0.5%,80535,0.998172333,0.839390333,0.976873667,0.863684,0.913032,0.992228,0.961383,0.982557333,0.962656667,0.972397667,
SCDA,LOS,-1,0,0.25,0.5%~1%,43321,0.996383333,0.864219,0.979187667,0.880443,0.924443333,0.992228,0.961383,0.982557333,0.962656667,0.972397667,
SCDA,LOS,-1,0,0.25,1%~10%,87563,0.991446,0.928252,0.980206,0.935027333,0.956551,0.992228,0.961383,0.982557333,0.962656667,0.972397667,
SCDA,LOS,-1,0,0.25,10%~20%,17259,0.982354,0.962616667,0.980479,0.970128667,0.975222,0.992228,0.961383,0.982557333,0.962656667,0.972397667,
SCDA,LOS,-1,0,0.25,20%~30%,11414,0.978714667,0.958679667,0.979096333,0.974951667,0.976995,0.992228,0.961383,0.982557333,0.962656667,0.972397667,
SCDA,LOS,-1,0,0.25,30%~40%,9073,0.976923,0.953922,0.977584333,0.976129667,0.976838,0.992228,0.961383,0.982557333,0.962656667,0.972397667,
SCDA,LOS,-1,0,0.25,40%~50%,8187,0.976744333,0.950914333,0.976933333,0.976594667,0.976747,0.992228,0.961383,0.982557333,0.962656667,0.972397667,
BiUNet,LOS,128,16,0.05,,80535,0.9999374376167076,0.9943193206607476,0.9983794836275895,0.9963931073152364,0.9973842491916464,0.9992282139262364,0.985365452185408,0.9974356720972662,0.9971357077929373,0.9972856294198976, 0.1%~0.5%
BiUNet,LOS,128,16,0.05,,43321,0.9994996943733282,0.9697568871590456,0.996789006595844,0.9846520346341516,0.990646892807632,0.9992282139262364,0.985365452185408,0.9974356720972662,0.9971357077929373,0.9972856294198976, 0.5%~1%
BiUNet,LOS,128,16,0.05,,87563,0.9990521716368762,0.9802331357968808,0.9965342216745872,0.9942985248303172,0.9954139684539888,0.9992282139262364,0.985365452185408,0.9974356720972662,0.9971357077929373,0.9972856294198976, 1%~10%
BiUNet,LOS,128,16,0.05,,17259,0.9982333439839868,0.992558840835358,0.9971875072207728,0.997856212788198,0.9975214282048908,0.9992282139262364,0.985365452185408,0.9974356720972662,0.9971357077929373,0.9972856294198976, 10%~20%
BiUNet,LOS,128,16,0.05,,11414,0.9980043355012388,0.9945015063683512,0.9975655981180996,0.998077655403757,0.997821118441947,0.9992282139262364,0.985365452185408,0.9974356720972662,0.9971357077929373,0.9972856294198976, 20%~30%
BiUNet,LOS,128,16,0.05,,9073,0.9979060207494708,0.9953251157958776,0.9977577734324228,0.9980037353258951,0.997880144490762,0.9992282139262364,0.985365452185408,0.9974356720972662,0.9971357077929373,0.9972856294198976, 30%~40%
BiUNet,LOS,128,16,0.05,,8187,0.9979667902046948,0.9958315841852616,0.9979331885828552,0.997993837738937,0.9979628398530648,0.9992282139262364,0.985365452185408,0.9974356720972662,0.9971357077929373,0.9972856294198976, 40%~50%
Beagle,LOS,-1,0,0.05,,80535,0.9968832767735794,0.8536960364894217,0.7492301742942333,0.7499646572770162,0.7495941203359296,0.9565618173434678,0.8301553114993384,0.7514160206904754,0.7513711351169614,0.7513934758648007, 0.1%~0.5%
Beagle,LOS,-1,0,0.05,,43321,0.9929346142610554,0.8233509097042998,0.7498919530986414,0.7494016446603952,0.7496433925502538,0.9565618173434678,0.8301553114993384,0.7514160206904754,0.7513711351169614,0.7513934758648007, 0.5%~1%
Beagle,LOS,-1,0,0.05,,87563,0.9708169193587968,0.81873560919081,0.7512670161219239,0.7510606364581421,0.7511636185430688,0.9565618173434678,0.8301553114993384,0.7514160206904754,0.7513711351169614,0.7513934758648007, 1%~10%
Beagle,LOS,-1,0,0.05,,17259,0.8805501546650093,0.8170654670155965,0.7513548793218126,0.7513319385641679,0.7513433827743253,0.9565618173434678,0.8301553114993384,0.7514160206904754,0.7513711351169614,0.7513934758648007, 10%~20%
