Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1
Beagle,SGDP,-1,0,0.05,0.1%~0.5%,2442,0.986697441,0.894326177,0.76082131,0.761407517,0.760799379,0.893210864,0.916027924,0.754308994,0.754305855,0.754304746
Beagle,SGDP,-1,0,0.05,0.5%~1%,3189,0.985380617,0.883018737,0.765248992,0.765891174,0.765422592,0.893210864,0.916027924,0.754308994,0.754305855,0.754304746
Beagle,SGDP,-1,0,0.05,1%~10%,40929,0.9611043,0.928778912,0.756458425,0.756731346,0.756575908,0.893210864,0.916027924,0.754308994,0.754305855,0.754304746
Beagle,SGDP,-1,0,0.05,10%~20%,21997,0.893435193,0.91826296,0.754127642,0.754080661,0.754088495,0.893210864,0.916027924,0.754308994,0.754305855,0.754304746
Beagle,SGDP,-1,0,0.05,20%~30%,15128,0.838894464,0.891235974,0.752672053,0.752652095,0.75264258,0.893210864,0.916027924,0.754308994,0.754305855,0.754304746
Beagle,SGDP,-1,0,0.05,30%~40%,14964,0.808631119,0.87189437,0.753501059,0.753534108,0.753514267,0.893210864,0.916027924,0.754308994,0.754305855,0.754304746
Beagle,SGDP,-1,0,0.05,40%~50%,12201,0.793332265,0.857757578,0.754955209,0.755004023,0.754953903,0.893210864,0.916027924,0.754308994,0.754305855,0.754304746
Beagle,SGDP,-1,0,0.15,0.1%~0.5%,2442,0.986002531,0.886861833,0.749817056,0.751159009,0.750286349,0.889996446,0.911840945,0.747663648,0.747514032,0.74758676
Beagle,SGDP,-1,0,0.15,0.5%~1%,3189,0.984154812,0.868341034,0.74634393,0.748798725,0.747263446,0.889996446,0.911840945,0.747663648,0.747514032,0.74758676
Beagle,SGDP,-1,0,0.15,1%~10%,40929,0.95947972,0.923561355,0.748059301,0.747739876,0.747876182,0.889996446,0.911840945,0.747663648,0.747514032,0.74758676
Beagle,SGDP,-1,0,0.15,10%~20%,21997,0.889191846,0.913356255,0.745216597,0.744922358,0.745058692,0.889996446,0.911840945,0.747663648,0.747514032,0.74758676
Beagle,SGDP,-1,0,0.15,20%~30%,15128,0.835459633,0.886931615,0.747832912,0.747833956,0.747821039,0.889996446,0.911840945,0.747663648,0.747514032,0.74758676
Beagle,SGDP,-1,0,0.15,30%~40%,14964,0.803284955,0.866369958,0.746791258,0.746934867,0.746859758,0.889996446,0.911840945,0.747663648,0.747514032,0.74758676
Beagle,SGDP,-1,0,0.15,40%~50%,12201,0.788503426,0.852125942,0.749262912,0.749503234,0.749362249,0.889996446,0.911840945,0.747663648,0.747514032,0.74758676
Beagle,SGDP,-1,0,0.25,0.1%~0.5%,2442,0.986427543,0.887430097,0.758674777,0.759698862,0.758751703,0.888391766,0.908990908,0.744659152,0.744340387,0.74449685
Beagle,SGDP,-1,0,0.25,0.5%~1%,3189,0.98436624,0.865388021,0.753022338,0.753428523,0.752808875,0.888391766,0.908990908,0.744659152,0.744340387,0.74449685
Beagle,SGDP,-1,0,0.25,1%~10%,40929,0.958667523,0.919770279,0.744712601,0.743625748,0.744143388,0.888391766,0.908990908,0.744659152,0.744340387,0.74449685
Beagle,SGDP,-1,0,0.25,10%~20%,21997,0.889319618,0.911686327,0.746292983,0.745730252,0.746004853,0.888391766,0.908990908,0.744659152,0.744340387,0.74449685
Beagle,SGDP,-1,0,0.25,20%~30%,15128,0.833594739,0.883825504,0.745395233,0.745393895,0.745383225,0.888391766,0.908990908,0.744659152,0.744340387,0.74449685
Beagle,SGDP,-1,0,0.25,30%~40%,14964,0.799569978,0.862031495,0.742159444,0.742414437,0.74228042,0.888391766,0.908990908,0.744659152,0.744340387,0.74449685
Beagle,SGDP,-1,0,0.25,40%~50%,12201,0.783146811,0.846469592,0.742858898,0.743318687,0.743081637,0.888391766,0.908990908,0.744659152,0.744340387,0.74449685
SCDA,SGDP,-1,0,0.05,0.1%~0.5%,2631,0.963134768,0.313352771,0.572629011,0.613883248,0.587427401,0.932971483,0.86384857,0.894289241,0.879734061,0.886783574
SCDA,SGDP,-1,0,0.05,0.5%~1%,3398,0.963284998,0.325506208,0.593249864,0.646152101,0.610028551,0.932971483,0.86384857,0.894289241,0.879734061,0.886783574
SCDA,SGDP,-1,0,0.05,1%~10%,43281,0.951106161,0.762369211,0.81508659,0.794182956,0.803789299,0.932971483,0.86384857,0.894289241,0.879734061,0.886783574
SCDA,SGDP,-1,0,0.05,10%~20%,23204,0.926235615,0.855726511,0.885842002,0.866159484,0.8755601,0.932971483,0.86384857,0.894289241,0.879734061,0.886783574
SCDA,SGDP,-1,0,0.05,20%~30%,15873,0.912316321,0.853867714,0.896249032,0.885086938,0.890420746,0.932971483,0.86384857,0.894289241,0.879734061,0.886783574
SCDA,SGDP,-1,0,0.05,30%~40%,15835,0.916997254,0.861073784,0.910495788,0.905357749,0.907788744,0.932971483,0.86384857,0.894289241,0.879734061,0.886783574
SCDA,SGDP,-1,0,0.05,40%~50%,13096,0.915398063,0.852492203,0.911366273,0.908900165,0.909991607,0.932971483,0.86384857,0.894289241,0.879734061,0.886783574
SCDA,SGDP,-1,0,0.15,0.1%~0.5%,2631,0.945604851,0.21169192,0.461304779,0.619023054,0.515597736,0.905239166,0.783118566,0.854734199,0.841619442,0.847966614
SCDA,SGDP,-1,0,0.15,0.5%~1%,3398,0.946853764,0.227465093,0.481236184,0.65037423,0.536824457,0.905239166,0.783118566,0.854734199,0.841619442,0.847966614
SCDA,SGDP,-1,0,0.15,1%~10%,43281,0.929108616,0.639576415,0.728172346,0.754576274,0.740829141,0.905239166,0.783118566,0.854734199,0.841619442,0.847966614
SCDA,SGDP,-1,0,0.15,10%~20%,23204,0.896164389,0.772391967,0.843613318,0.823957399,0.833313873,0.905239166,0.783118566,0.854734199,0.841619442,0.847966614
SCDA,SGDP,-1,0,0.15,20%~30%,15873,0.878736333,0.770737472,0.862940999,0.845631806,0.853701802,0.905239166,0.783118566,0.854734199,0.841619442,0.847966614
SCDA,SGDP,-1,0,0.15,30%~40%,15835,0.883532834,0.778502711,0.880144669,0.868690263,0.87378434,0.905239166,0.783118566,0.854734199,0.841619442,0.847966614
SCDA,SGDP,-1,0,0.15,40%~50%,13096,0.881893731,0.76640184,0.880823558,0.873811015,0.876511323,0.905239166,0.783118566,0.854734199,0.841619442,0.847966614
SCDA,SGDP,-1,0,0.25,0.1%~0.5%,2631,0.920867742,0.12657689,0.384177921,0.598651456,0.437827294,0.876407919,0.69450117,0.813890377,0.805639958,0.809593718
SCDA,SGDP,-1,0,0.25,0.5%~1%,3398,0.923899085,0.14304944,0.403660341,0.629465518,0.459905836,0.876407919,0.69450117,0.813890377,0.805639958,0.809593718
SCDA,SGDP,-1,0,0.25,1%~10%,43281,0.904175357,0.516632279,0.648112537,0.720048677,0.680535739,0.876407919,0.69450117,0.813890377,0.805639958,0.809593718
SCDA,SGDP,-1,0,0.25,10%~20%,23204,0.866322682,0.684212221,0.801313043,0.786527162,0.793512859,0.876407919,0.69450117,0.813890377,0.805639958,0.809593718
SCDA,SGDP,-1,0,0.25,20%~30%,15873,0.846999097,0.688093018,0.831751797,0.809522011,0.819608179,0.876407919,0.69450117,0.813890377,0.805639958,0.809593718
SCDA,SGDP,-1,0,0.25,30%~40%,15835,0.849367052,0.689065022,0.850333304,0.831903666,0.83960915,0.876407919,0.69450117,0.813890377,0.805639958,0.809593718
SCDA,SGDP,-1,0,0.25,40%~50%,13096,0.849595528,0.680764643,0.852940731,0.84036362,0.84472431,0.876407919,0.69450117,0.813890377,0.805639958,0.809593718
BiUNet,SGDP,128,16,0.05,0.1%~0.5%,2631,0.998401921,0.959282227,0.988430383,0.975316926,0.981776563,0.995121974,0.987203559,0.992110731,0.993035212,0.992572006
BiUNet,SGDP,128,16,0.05,0.5%~1%,3398,0.998680151,0.960112422,0.984695005,0.982511775,0.983590631,0.995121974,0.987203559,0.992110731,0.993035212,0.992572006
BiUNet,SGDP,128,16,0.05,1%~10%,43281,0.997850376,0.98603843,0.98904968,0.995739855,0.992367792,0.995121974,0.987203559,0.992110731,0.993035212,0.992572006
BiUNet,SGDP,128,16,0.05,10%~20%,23204,0.993856532,0.984623474,0.991003156,0.990996943,0.990999729,0.995121974,0.987203559,0.992110731,0.993035212,0.992572006
BiUNet,SGDP,128,16,0.05,20%~30%,15873,0.992010924,0.982425071,0.991251169,0.990578751,0.990914328,0.995121974,0.987203559,0.992110731,0.993035212,0.992572006
BiUNet,SGDP,128,16,0.05,30%~40%,15835,0.992959593,0.984158347,0.992501689,0.992843283,0.992671821,0.995121974,0.987203559,0.992110731,0.993035212,0.992572006
BiUNet,SGDP,128,16,0.05,40%~50%,13096,0.993150233,0.983872765,0.992893119,0.993154494,0.993022488,0.995121974,0.987203559,0.992110731,0.993035212,0.992572006
BiUNet,SGDP,128,16,0.15,0.1%~0.5%,2631,0.997644633,0.9342615,0.970849395,0.971644034,0.971218517,0.982487187,0.955652732,0.974632731,0.972696965,0.973661751
BiUNet,SGDP,128,16,0.15,0.5%~1%,3398,0.997387055,0.928640274,0.964043715,0.974332477,0.969132591,0.982487187,0.955652732,0.974632731,0.972696965,0.973661751
