Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1,MAF_bin
SCDA,SGDP,-1,0,0.05,0.1%~0.5%,2631,0.974427667,0.526395333,0.705731667,0.735369667,0.716090667,0.953290333,0.903767333,0.926243,0.917025333,0.921484667,
SCDA,SGDP,-1,0,0.05,0.5%~1%,3398,0.974492667,0.531419333,0.719972667,0.756635,0.732562333,0.953290333,0.903767333,0.926243,0.917025333,0.921484667,
SCDA,SGDP,-1,0,0.05,1%~10%,43281,0.966421667,0.834562667,0.872118667,0.860784,0.865872333,0.953290333,0.903767333,0.926243,0.917025333,0.921484667,
SCDA,SGDP,-1,0,0.05,10%~20%,23204,0.948297333,0.897380667,0.920206667,0.906980333,0.913287333,0.953290333,0.903767333,0.926243,0.917025333,0.921484667,
SCDA,SGDP,-1,0,0.05,20%~30%,15873,0.938542,0.895616667,0.927522333,0.920068667,0.923639333,0.953290333,0.903767333,0.926243,0.917025333,0.921484667,
SCDA,SGDP,-1,0,0.05,30%~40%,15835,0.941741333,0.901130333,0.937174,0.933944333,0.935469,0.953290333,0.903767333,0.926243,0.917025333,0.921484667,
SCDA,SGDP,-1,0,0.05,40%~50%,13096,0.940831667,0.895260667,0.938023,0.936518667,0.937179667,0.953290333,0.903767333,0.926243,0.917025333,0.921484667,
SCDA,SGDP,-1,0,0.15,0.1%~0.5%,2631,0.944830333,0.208456333,0.457263333,0.618110667,0.511908333,0.904681333,0.780849667,0.853950667,0.841148333,0.847344667,
SCDA,SGDP,-1,0,0.15,0.5%~1%,3398,0.945803667,0.217380333,0.475199667,0.646292333,0.530790333,0.904681333,0.780849667,0.853950667,0.841148333,0.847344667,
SCDA,SGDP,-1,0,0.15,1%~10%,43281,0.928458,0.634882,0.726112333,0.753480667,0.739215,0.904681333,0.780849667,0.853950667,0.841148333,0.847344667,
SCDA,SGDP,-1,0,0.15,10%~20%,23204,0.895408667,0.770022,0.842379,0.823050667,0.832247333,0.904681333,0.780849667,0.853950667,0.841148333,0.847344667,
SCDA,SGDP,-1,0,0.15,20%~30%,15873,0.878462333,0.769346333,0.862731,0.845542333,0.853562,0.904681333,0.780849667,0.853950667,0.841148333,0.847344667,
SCDA,SGDP,-1,0,0.15,30%~40%,15835,0.882946,0.775865667,0.879667667,0.868191333,0.873296333,0.904681333,0.780849667,0.853950667,0.841148333,0.847344667,
SCDA,SGDP,-1,0,0.15,40%~50%,13096,0.881856,0.766069667,0.880803,0.873782333,0.876490667,0.904681333,0.780849667,0.853950667,0.841148333,0.847344667,
SCDA,SGDP,-1,0,0.25,0.1%~0.5%,2631,0.920879333,0.136034333,0.388948333,0.614814333,0.445152333,0.875617667,0.691968667,0.812542,0.805174,0.808700333,
SCDA,SGDP,-1,0,0.25,0.5%~1%,3398,0.923058667,0.143088333,0.404890333,0.638413,0.462841667,0.875617667,0.691968667,0.812542,0.805174,0.808700333,
SCDA,SGDP,-1,0,0.25,1%~10%,43281,0.90324,0.511765333,0.645417333,0.719223,0.678572333,0.875617667,0.691968667,0.812542,0.805174,0.808700333,
SCDA,SGDP,-1,0,0.25,10%~20%,23204,0.865528667,0.681739667,0.800105667,0.785924667,0.792628667,0.875617667,0.691968667,0.812542,0.805174,0.808700333,
SCDA,SGDP,-1,0,0.25,20%~30%,15873,0.845507333,0.683542667,0.830065,0.808146667,0.818104333,0.875617667,0.691968667,0.812542,0.805174,0.808700333,
SCDA,SGDP,-1,0,0.25,30%~40%,15835,0.849462,0.689657,0.850145333,0.832272667,0.839783,0.875617667,0.691968667,0.812542,0.805174,0.808700333,
SCDA,SGDP,-1,0,0.25,40%~50%,13096,0.848923333,0.679635333,0.852262667,0.839635333,0.844018667,0.875617667,0.691968667,0.812542,0.805174,0.808700333,
BiUNet,SGDP,128,16,0.05,,2442,0.9999069317251136,0.9982542918437756,0.997711251254007,0.999109273986183,0.998409424142686,0.9987005371714438,0.994296554971192,0.997588975427975,0.9983090129882524,0.9979486303720884, 0.1%~0.5%
BiUNet,SGDP,128,16,0.05,,3189,0.9998503378089456,0.99692244444127,0.9973807977721336,0.9996104155531972,0.9984930226451074,0.9987005371714438,0.994296554971192,0.997588975427975,0.9983090129882524,0.9979486303720884, 0.5%~1%
BiUNet,SGDP,128,16,0.05,,40929,0.9993480950381926,0.9929622188636076,0.996102086895462,0.99933889224425,0.9977153280615711,0.9987005371714438,0.994296554971192,0.997588975427975,0.9983090129882524,0.9979486303720884, 1%~10%
BiUNet,SGDP,128,16,0.05,,21997,0.9983892431612575,0.9933913271428632,0.9971822673512888,0.997908278841238,0.9975448276282136,0.9987005371714438,0.994296554971192,0.997588975427975,0.9983090129882524,0.9979486303720884, 10%~20%
