Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1
Beagle,LOS,-1,0,0.05,0.1%~0.5%,72297,0.996598667,0.912302667,0.751618667,0.752739,0.752167,0.943493667,0.913789667,0.750282,0.750301,0.750291667
Beagle,LOS,-1,0,0.05,0.5%~1%,41655,0.992828333,0.917261333,0.750887,0.751699667,0.751291667,0.943493667,0.913789667,0.750282,0.750301,0.750291667
Beagle,LOS,-1,0,0.05,1%~10%,120279,0.96529,0.905876667,0.750404,0.750378333,0.750390667,0.943493667,0.913789667,0.750282,0.750301,0.750291667
Beagle,LOS,-1,0,0.05,10%~20%,30423,0.880215667,0.895594,0.750333,0.750348,0.750339667,0.943493667,0.913789667,0.750282,0.750301,0.750291667
Beagle,LOS,-1,0,0.05,20%~30%,17490,0.819365667,0.869973667,0.749665333,0.749706667,0.749686,0.943493667,0.913789667,0.750282,0.750301,0.750291667
Beagle,LOS,-1,0,0.05,30%~40%,13326,0.779662,0.841827667,0.750102333,0.750179333,0.75014,0.943493667,0.913789667,0.750282,0.750301,0.750291667
Beagle,LOS,-1,0,0.05,40%~50%,12129,0.75908,0.820148,0.749754333,0.749888667,0.749821,0.943493667,0.913789667,0.750282,0.750301,0.750291667
Beagle,LOS,-1,0,0.15,0.1%~0.5%,72297,0.996457,0.903214,0.745876667,0.746481333,0.746174667,0.942750667,0.910667667,0.748127333,0.748041333,0.748083
Beagle,LOS,-1,0,0.15,0.5%~1%,41655,0.992545333,0.907789667,0.746197667,0.745134333,0.74566,0.942750667,0.910667667,0.748127333,0.748041333,0.748083
Beagle,LOS,-1,0,0.15,1%~10%,120279,0.964631667,0.901151,0.747417333,0.747181,0.747296,0.942750667,0.910667667,0.748127333,0.748041333,0.748083
