Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1,MAF_bin
SCDA,LOS,-1,0,0.05,0.1%~0.5%,72297,0.994437667,0.563983333,0.708606,0.944818,0.801563333,0.978370333,0.872975,0.944182667,0.919827,0.931734667,
SCDA,LOS,-1,0,0.05,0.5%~1%,41655,0.993223,0.705761333,0.809924333,0.936625,0.866675333,0.978370333,0.872975,0.944182667,0.919827,0.931734667,
SCDA,LOS,-1,0,0.05,1%~10%,120279,0.984994,0.848548,0.923292667,0.915802667,0.919503667,0.978370333,0.872975,0.944182667,0.919827,0.931734667,
SCDA,LOS,-1,0,0.05,10%~20%,30423,0.958428333,0.869107,0.949104,0.917246667,0.932553333,0.978370333,0.872975,0.944182667,0.919827,0.931734667,
SCDA,LOS,-1,0,0.05,20%~30%,17490,0.940466667,0.844738333,0.945742333,0.919404,0.931597667,0.978370333,0.872975,0.944182667,0.919827,0.931734667,
SCDA,LOS,-1,0,0.05,30%~40%,13326,0.929639333,0.816868667,0.938457667,0.922078667,0.928674333,0.978370333,0.872975,0.944182667,0.919827,0.931734667,
SCDA,LOS,-1,0,0.05,40%~50%,12129,0.924124333,0.795081667,0.931121333,0.922929,0.924680333,0.978370333,0.872975,0.944182667,0.919827,0.931734667,
SCDA,LOS,-1,0,0.15,0.1%~0.5%,72297,0.991904667,0.425967333,0.642023,0.899676667,0.737392667,0.964014667,0.770211333,0.934674333,0.862046,0.895996667,
SCDA,LOS,-1,0,0.15,0.5%~1%,41655,0.989069,0.549729333,0.752170333,0.858737333,0.799767,0.964014667,0.770211333,0.934674333,0.862046,0.895996667,
SCDA,LOS,-1,0,0.15,1%~10%,120279,0.975749333,0.738346333,0.907368333,0.856989,0.880999333,0.964014667,0.770211333,0.934674333,0.862046,0.895996667,
SCDA,LOS,-1,0,0.15,10%~20%,30423,0.930591333,0.760163,0.939806333,0.860452333,0.896301,0.964014667,0.770211333,0.934674333,0.862046,0.895996667,
SCDA,LOS,-1,0,0.15,20%~30%,17490,0.898472333,0.718332333,0.928796,0.861942,0.889994667,0.964014667,0.770211333,0.934674333,0.862046,0.895996667,
SCDA,LOS,-1,0,0.15,30%~40%,13326,0.878192333,0.675259667,0.912642,0.864705333,0.880888667,0.964014667,0.770211333,0.934674333,0.862046,0.895996667,
SCDA,LOS,-1,0,0.15,40%~50%,12129,0.867999,0.645102667,0.899739,0.865617333,0.872322333,0.964014667,0.770211333,0.934674333,0.862046,0.895996667,
SCDA,LOS,-1,0,0.25,0.1%~0.5%,72297,0.990198667,0.336912667,0.603270333,0.842173667,0.690632333,0.949688,0.671279667,0.927039667,0.800787667,0.856417333,
SCDA,LOS,-1,0,0.25,0.5%~1%,41655,0.986322667,0.446355,0.716131667,0.79461,0.751513,0.949688,0.671279667,0.927039667,0.800787667,0.856417333,
SCDA,LOS,-1,0,0.25,1%~10%,120279,0.967029667,0.637268667,0.895348333,0.795131333,0.840516333,0.949688,0.671279667,0.927039667,0.800787667,0.856417333,
SCDA,LOS,-1,0,0.25,10%~20%,30423,0.901588667,0.655145333,0.931473333,0.800010333,0.855051333,0.949688,0.671279667,0.927039667,0.800787667,0.856417333,
SCDA,LOS,-1,0,0.25,20%~30%,17490,0.853967,0.601959333,0.914307667,0.800585333,0.843291,0.949688,0.671279667,0.927039667,0.800787667,0.856417333,
SCDA,LOS,-1,0,0.25,30%~40%,13326,0.823308667,0.551777667,0.892529,0.803396333,0.829086,0.949688,0.671279667,0.927039667,0.800787667,0.856417333,
SCDA,LOS,-1,0,0.25,40%~50%,12129,0.807966333,0.518846333,0.877072333,0.804317667,0.817212,0.949688,0.671279667,0.927039667,0.800787667,0.856417333,
BiUNet,LOS,128,16,0.05,,72297,0.9999823112141052,0.9982742566859344,0.9987506836467605,0.9997400016718404,0.999244821172514,0.9988852869632716,0.9887541592784788,0.9967107699054129,0.996972459851502,0.9968415734786614, 0.1%~0.5%
BiUNet,LOS,128,16,0.05,,41655,0.9998545746655216,0.9931403178200788,0.9970452231927116,0.9976171869234264,0.9973310459329884,0.9988852869632716,0.9887541592784788,0.9967107699054129,0.996972459851502,0.9968415734786614, 0.5%~1%
BiUNet,LOS,128,16,0.05,,120279,0.9986749024330398,0.979037876390952,0.995387838595666,0.993694662859641,0.9945397830985324,0.9988852869632716,0.9887541592784788,0.9967107699054129,0.996972459851502,0.9968415734786614, 1%~10%
BiUNet,LOS,128,16,0.05,,30423,0.997874625894545,0.9912198641641456,0.9965311663677946,0.997342314854609,0.9969361861480572,0.9988852869632716,0.9887541592784788,0.9967107699054129,0.996972459851502,0.9968415734786614, 10%~20%
BiUNet,LOS,128,16,0.05,,17490,0.9974395625339022,0.9932313912331524,0.9968615225655156,0.9974636583434172,0.9971619310969873,0.9988852869632716,0.9887541592784788,0.9967107699054129,0.996972459851502,0.9968415734786614, 20%~30%
BiUNet,LOS,128,16,0.05,,13326,0.9973593649584196,0.9941412478032818,0.997166711992746,0.9974620026606006,0.9973136017517488,0.9988852869632716,0.9887541592784788,0.9967107699054129,0.996972459851502,0.9968415734786614, 30%~40%
BiUNet,LOS,128,16,0.05,,12129,0.9974000118385477,0.994737802184432,0.9973616092425172,0.9974303134730378,0.9973951369676748,0.9988852869632716,0.9887541592784788,0.9967107699054129,0.996972459851502,0.9968415734786614, 40%~50%
Beagle,LOS,-1,0,0.05,,72297,0.99659266990899,0.9256300381791904,0.7512131227522285,0.7523373601395071,0.7517650870677869,0.9432195417427002,0.8497323550697642,0.7490668604982148,0.7490844141586134,0.7490755382415878, 0.1%~0.5%
Beagle,LOS,-1,0,0.05,,41655,0.9928068320668249,0.8660288900056157,0.750140942591071,0.7509620422905456,0.7505495274112259,0.9432195417427002,0.8497323550697642,0.7490668604982148,0.7490844141586134,0.7490755382415878, 0.5%~1%
Beagle,LOS,-1,0,0.05,,120279,0.9651221966619916,0.8198901686689469,0.7491872713946642,0.749160193965221,0.7491735480805126,0.9432195417427002,0.8497323550697642,0.7490668604982148,0.7490844141586134,0.7490755382415878, 1%~10%
Beagle,LOS,-1,0,0.05,,30423,0.8796646767754154,0.8146439934935805,0.7491731692660261,0.7491959793446421,0.7491843411714175,0.9432195417427002,0.8497323550697642,0.7490668604982148,0.7490844141586134,0.7490755382415878, 10%~20%
Beagle,LOS,-1,0,0.05,,17490,0.8179388221841052,0.8140657615066336,0.7476912786018445,0.7477253403014428,0.7477080167945463,0.9432195417427002,0.8497323550697642,0.7490668604982148,0.7490844141586134,0.7490755382415878, 20%~30%
Beagle,LOS,-1,0,0.05,,13326,0.779149926690449,0.8151811487875383,0.7495065326050969,0.7495945190694558,0.7495502059823571,0.9432195417427002,0.8497323550697642,0.7490668604982148,0.7490844141586134,0.7490755382415878, 30%~40%
Beagle,LOS,-1,0,0.05,,12129,0.7579096296014426,0.8147016600542795,0.7485216920418603,0.7486712189716911,0.7485963456424576,0.9432195417427002,0.8497323550697642,0.7490668604982148,0.7490844141586134,0.7490755382415878, 40%~50%
BiUNet,LOS,128,16,0.15,,72297,0.9995237327647386,0.9654411977255506,0.9960845454008004,0.968093828852336,0.9816860251134688,0.996174642043533,0.9437089537684944,0.9897818300419432,0.9887371199200896,0.9892588580673208, 0.1%~0.5%
BiUNet,LOS,128,16,0.15,,41655,0.9981696413457306,0.8946087081706378,0.9901442461822992,0.9435529330048726,0.9656948030739546,0.996174642043533,0.9437089537684944,0.9897818300419432,0.9887371199200896,0.9892588580673208, 0.5%~1%
BiUNet,LOS,128,16,0.15,,120279,0.9958095291694672,0.9271469826157644,0.986293177164008,0.9790582714154488,0.9826477920726192,0.996174642043533,0.9437089537684944,0.9897818300419432,0.9887371199200896,0.9892588580673208, 1%~10%
BiUNet,LOS,128,16,0.15,,30423,0.9931848753094192,0.9723742065849256,0.9891575616003216,0.9911749769126904,0.990162647753682,0.996174642043533,0.9437089537684944,0.9897818300419432,0.9887371199200896,0.9892588580673208, 10%~20%
BiUNet,LOS,128,16,0.15,,17490,0.9918041078418436,0.9781116471529344,0.9900679206179652,0.9917764377973785,0.9909168652869244,0.996174642043533,0.9437089537684944,0.9897818300419432,0.9887371199200896,0.9892588580673208, 20%~30%
BiUNet,LOS,128,16,0.15,,13326,0.991608605887084,0.9817553909921468,0.991044971531768,0.9918965120092472,0.9914642453146928,0.996174642043533,0.9437089537684944,0.9897818300419432,0.9887371199200896,0.9892588580673208, 30%~40%
BiUNet,LOS,128,16,0.15,,12129,0.9917991632683693,0.9837347541326438,0.9916884100326304,0.9918897398504282,0.991781138158044,0.996174642043533,0.9437089537684944,0.9897818300419432,0.9887371199200896,0.9892588580673208, 40%~50%
Beagle,LOS,-1,0,0.15,,72297,0.9964183976850478,0.9157109729594116,0.7429870815680939,0.743571492121865,0.7432787362616758,0.9422637727390832,0.8385864380396544,0.7459630075406157,0.7458848863078646,0.7459233004664798, 0.1%~0.5%
