Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1,MAF_bin
SCDA,LOS,-1,0,0.05,0.1%~0.5%,52524,0.985772667,0.321939333,0.505302667,0.916639333,0.618047,0.964787,0.845546667,0.921303667,0.911296667,0.916245,
SCDA,LOS,-1,0,0.05,0.5%~1%,20151,0.984371333,0.538390667,0.665206333,0.913826,0.760105667,0.964787,0.845546667,0.921303667,0.911296667,0.916245,
SCDA,LOS,-1,0,0.05,1%~10%,54011,0.974518,0.797655667,0.877608333,0.899404667,0.888287,0.964787,0.845546667,0.921303667,0.911296667,0.916245,
SCDA,LOS,-1,0,0.05,10%~20%,19838,0.945306333,0.846289333,0.927661667,0.903536333,0.915169,0.964787,0.845546667,0.921303667,0.911296667,0.916245,
SCDA,LOS,-1,0,0.05,20%~30%,15717,0.931427,0.833384333,0.933611333,0.912435,0.922274,0.964787,0.845546667,0.921303667,0.911296667,0.916245,
SCDA,LOS,-1,0,0.05,30%~40%,13401,0.922914667,0.809496,0.929276667,0.91664,0.921613333,0.964787,0.845546667,0.921303667,0.911296667,0.916245,
SCDA,LOS,-1,0,0.05,40%~50%,12757,0.921629333,0.797036333,0.926913,0.920459667,0.921828667,0.964787,0.845546667,0.921303667,0.911296667,0.916245,
SCDA,LOS,-1,0,0.15,0.1%~0.5%,52524,0.981317667,0.231976,0.455835667,0.872039667,0.557706667,0.947314333,0.748647,0.907566667,0.861209333,0.883318,
SCDA,LOS,-1,0,0.15,0.5%~1%,20151,0.978744333,0.410904333,0.604979667,0.846705,0.694363333,0.947314333,0.748647,0.907566667,0.861209333,0.883318,
SCDA,LOS,-1,0,0.15,1%~10%,54011,0.964023,0.695236667,0.855160333,0.849717333,0.852359333,0.947314333,0.748647,0.907566667,0.861209333,0.883318,
SCDA,LOS,-1,0,0.15,10%~20%,19838,0.91876,0.74596,0.916267,0.854694667,0.882878667,0.947314333,0.748647,0.907566667,0.861209333,0.883318,
SCDA,LOS,-1,0,0.15,20%~30%,15717,0.892890667,0.717642333,0.91559,0.862128667,0.884727333,0.947314333,0.748647,0.907566667,0.861209333,0.883318,
SCDA,LOS,-1,0,0.15,30%~40%,13401,0.877101,0.681613333,0.903681,0.866699,0.878877333,0.947314333,0.748647,0.907566667,0.861209333,0.883318,
SCDA,LOS,-1,0,0.15,40%~50%,12757,0.872140333,0.661377,0.896742667,0.870151333,0.875262333,0.947314333,0.748647,0.907566667,0.861209333,0.883318,
SCDA,LOS,-1,0,0.25,0.1%~0.5%,52524,0.978396667,0.177993667,0.427390667,0.824421,0.519253,0.929565,0.65369,0.895476667,0.806555333,0.846895,
SCDA,LOS,-1,0,0.25,0.5%~1%,20151,0.975038,0.327449333,0.568570667,0.796238667,0.65163,0.929565,0.65369,0.895476667,0.806555333,0.846895,
SCDA,LOS,-1,0,0.25,1%~10%,54011,0.954244,0.600907667,0.836996667,0.796145333,0.815638667,0.929565,0.65369,0.895476667,0.806555333,0.846895,
SCDA,LOS,-1,0,0.25,10%~20%,19838,0.890377333,0.646688,0.905661333,0.800797,0.845644333,0.929565,0.65369,0.895476667,0.806555333,0.846895,
SCDA,LOS,-1,0,0.25,20%~30%,15717,0.850977667,0.607376333,0.899571333,0.806805667,0.842086667,0.929565,0.65369,0.895476667,0.806555333,0.846895,
SCDA,LOS,-1,0,0.25,30%~40%,13401,0.827027667,0.565238333,0.882840333,0.811972,0.832003667,0.929565,0.65369,0.895476667,0.806555333,0.846895,
SCDA,LOS,-1,0,0.25,40%~50%,12757,0.817668,0.540726,0.873122,0.814756333,0.825037,0.929565,0.65369,0.895476667,0.806555333,0.846895,
BiUNet,LOS,128,16,0.05,,52524,0.9999841916696732,0.9980097589652546,0.9986520446374532,0.9997987262151028,0.9992247523653436,0.9992550349060608,0.9922166618354166,0.9983087733423156,0.998449587016042,0.9983791713073074, 0.1%~0.5%
BiUNet,LOS,128,16,0.05,,20151,0.9998369774267628,0.992241336781006,0.9978930647546878,0.995656328867133,0.9967718758000051,0.9992550349060608,0.9922166618354166,0.9983087733423156,0.998449587016042,0.9983791713073074, 0.5%~1%
BiUNet,LOS,128,16,0.05,,54011,0.9989259771199616,0.9819243414470156,0.9969950174346242,0.9950417637797386,0.9960162218898596,0.9992550349060608,0.9922166618354166,0.9983087733423156,0.998449587016042,0.9983791713073074, 1%~10%
BiUNet,LOS,128,16,0.05,,19838,0.9987678476200208,0.994925983237142,0.9980678922942614,0.9985701006032804,0.998318810307072,0.9992550349060608,0.9922166618354166,0.9983087733423156,0.998449587016042,0.9983791713073074, 10%~20%
BiUNet,LOS,128,16,0.05,,15717,0.998746061920444,0.9965413013063258,0.9984829720275036,0.9988283692762444,0.9986554566575182,0.9992550349060608,0.9922166618354166,0.9983087733423156,0.998449587016042,0.9983791713073074, 20%~30%
BiUNet,LOS,128,16,0.05,,13401,0.998709321685658,0.997024668553719,0.9986312887597932,0.9987794245765024,0.9987051078345996,0.9992550349060608,0.9922166618354166,0.9983087733423156,0.998449587016042,0.9983791713073074, 30%~40%
BiUNet,LOS,128,16,0.05,,12757,0.9986847785103876,0.9973112814755704,0.998670606355075,0.9987024931686684,0.998686251991637,0.9992550349060608,0.9922166618354166,0.9983087733423156,0.998449587016042,0.9983791713073074, 40%~50%
Beagle,LOS,-1,0,0.05,,52524,0.9973081902485604,0.9201434354504046,0.7482340533304364,0.7496261058910041,0.7488972143067114,0.9263125105692336,0.8453035690807517,0.7492366129060885,0.749206931186621,0.7492214066778544, 0.1%~0.5%
Beagle,LOS,-1,0,0.05,,20151,0.9933664857475382,0.8502174746282958,0.7478952758644757,0.7484230165457773,0.7481582272495786,0.9263125105692336,0.8453035690807517,0.7492366129060885,0.749206931186621,0.7492214066778544, 0.5%~1%
Beagle,LOS,-1,0,0.05,,54011,0.961964342607937,0.8112767711658262,0.7476226227527759,0.7473222864895459,0.7474719823858667,0.9263125105692336,0.8453035690807517,0.7492366129060885,0.749206931186621,0.7492214066778544, 1%~10%
Beagle,LOS,-1,0,0.05,,19838,0.875073730702856,0.809362240474763,0.7495068759852215,0.7494719269606623,0.7494851400111413,0.9263125105692336,0.8453035690807517,0.7492366129060885,0.749206931186621,0.7492214066778544, 10%~20%
Beagle,LOS,-1,0,0.05,,15717,0.8141656856555299,0.8098772484962028,0.7490146974933246,0.7490441400727171,0.7490294012722223,0.9263125105692336,0.8453035690807517,0.7492366129060885,0.749206931186621,0.7492214066778544, 20%~30%
Beagle,LOS,-1,0,0.05,,13401,0.774901987796548,0.8102610102402388,0.7500660171761789,0.7501299380792129,0.7500964211620131,0.9263125105692336,0.8453035690807517,0.7492366129060885,0.749206931186621,0.7492214066778544, 30%~40%
Beagle,LOS,-1,0,0.05,,12757,0.754043649888607,0.809818503534737,0.7489279546765606,0.7490157277089688,0.7489666817105126,0.9263125105692336,0.8453035690807517,0.7492366129060885,0.749206931186621,0.7492214066778544, 40%~50%
