method,missing,MAF_bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Bin_Acc_sd,Bin_R2_sd,Bin_Precision_sd,Bin_Recall_sd,Bin_F1_sd
biunet,5%, 0.1%~0.5%,4579678.0,0.9994235300178738,0.9550243350396072,0.9646497543581942,0.9978680794583278,0.9808437089668413,5.110261743376678e-07,1.4073769060873443e-06,2.534195320478539e-05,8.080651693699826e-06,1.2642781412810794e-05
biunet,5%, 0.5%~1%,3014809.0,0.9993815988950775,0.9765587311519152,0.9814927592386543,0.9974756289350228,0.9893788585159015,9.862909534004394e-07,2.2852140947448233e-05,3.50789515505374e-05,4.071207196876362e-06,1.954057029997854e-05
biunet,5%, 1%~10%,6242570.0,0.996788807731082,0.9752735925199594,0.9940259948952214,0.9771943977269055,0.9854726719851729,2.898421611134002e-07,5.207765455961365e-06,1.4393303940209466e-06,8.01562267182719e-07,5.344617305012276e-07
biunet,5%, 10%~20%,1353480.0,0.9887476569341435,0.9681258597487553,0.9930398430476967,0.9777971451662476,0.9852608092094707,6.943314024701321e-07,8.510033075331333e-06,1.95991478526781e-06,3.0033131681236588e-06,1.6207553181415952e-06
biunet,5%, 20%~30%,879876.0,0.9865823413843064,0.9643087927935668,0.9900509323403881,0.9827554908316652,0.9863263929504583,2.7268727001386133e-06,3.4501738704198445e-05,3.808740873753462e-06,3.40828682596692e-06,3.599170293191464e-06
biunet,5%, 30%~40%,686102.0,0.9875600589401218,0.9643268748544717,0.9891024245482681,0.9867456229440942,0.9878899547492642,3.571680532324289e-06,2.158296129080648e-05,3.3162118501869005e-06,3.4941109858387096e-06,3.368598572710888e-06
biunet,5%, 40%~50%,609106.0,0.9883934741034603,0.9645169709640662,0.9889372244851935,0.9882362645632505,0.9885635449041964,1.1500346874186074e-05,1.6516838602406767e-05,1.1643949254359472e-05,1.1557683374486105e-05,1.1577364714825497e-05
biunet,5%, Overall,17365621.0,0.9961308109440813,0.9776456769903138,0.9935264440177982,0.983690979668887,0.988561796160735,3.628069942734459e-07,2.6562836690375814e-06,1.4057019800737066e-06,9.729195623290664e-07,1.177758539837688e-06
biunet,15%, 0.1%~0.5%,4579678.0,0.997857502360883,0.8539265721940485,0.9009142189712908,0.9642116220623785,0.9310224003752157,1.0468920611628124e-06,0.00017067926311661847,6.682441317387057e-05,1.0719638953872435e-05,4.020354709517941e-05
biunet,15%, 0.5%~1%,3014809.0,0.9963349558424651,0.889104511211214,0.9422919860569473,0.9279593700811359,0.9348680832797632,3.881762688108279e-07,2.8293687418347842e-05,1.437169211051269e-05,8.958502287186817e-06,8.926912884990884e-06
biunet,15%, 1%~10%,6242570.0,0.989621671469913,0.9214497350871437,0.9810217142203846,0.924945580216234,0.9513550693388457,5.686669122598918e-07,2.717689651191337e-05,4.278701147042665e-06,2.37051934620634e-06,2.5393956716680382e-06
biunet,15%, 10%~20%,1353480.0,0.9659566469654921,0.9053144600485413,0.9787491474298228,0.9328269153345552,0.9543171064623702,2.2084530400205363e-06,1.4207147225847329e-05,7.3531722333725655e-06,1.6849395283818255e-06,3.819520576656498e-06
biunet,15%, 20%~30%,879876.0,0.9587201511474648,0.8931119023815581,0.9697019631695584,0.9468387797576426,0.9575382913458922,7.784729264447672e-07,1.1330883619392663e-05,1.051174040202521e-06,1.3906809128664049e-06,4.906685688476581e-07
biunet,15%, 30%~40%,686102.0,0.9613134617300322,0.8919231558124782,0.9665419974431265,0.9587380848132486,0.962311843137566,3.587695745453305e-06,3.372655803420407e-05,3.6809417386397858e-06,4.616383508900397e-06,4.255400261310369e-06
