missing,MAF_bin,Bin_R2_biunet,Bin_R2_beagle,Bin_R2_delta,Bin_Acc_biunet,Bin_Acc_beagle,Bin_Acc_delta
5%, 0.1%~0.5%,0.9550243350396072,0.925277939969642,0.029746395069965126,0.9994235300178738,0.9961464489831625,0.003277081034711249
5%, 0.5%~1%,0.9765587311519152,0.9347606025366652,0.04179812861525001,0.9993815988950775,0.9927814990022922,0.006600099892785316
5%, 1%~10%,0.9752735925199594,0.931780749800524,0.04349284271943532,0.996788807731082,0.9708080827577811,0.02598072497330095
5%, 10%~20%,0.9681258597487553,0.9047675729230553,0.0633582868257,0.9887476569341435,0.8830555496561031,0.10569210727804035
5%, 20%~30%,0.9643087927935668,0.8782610500430533,0.08604774275051352,0.9865823413843064,0.8251674718930465,0.16141486949125994
5%, 30%~40%,0.9643268748544717,0.8500452973825062,0.11428157747196543,0.9875600589401218,0.7863841918452495,0.20117586709487223
5%, 40%~50%,0.9645169709640662,0.830826244381071,0.1336907265829952,0.9883934741034603,0.7673690124682597,0.22102446163520062
5%, Overall,0.9776456769903138,0.9256515463733477,0.05199413061696612,0.9961308109440813,0.9526642269195537,0.04346658402452763
15%, 0.1%~0.5%,0.8539265721940485,0.9210983021250306,-0.06717172993098208,0.997857502360883,0.9960772060656123,0.0017802962952706558
15%, 0.5%~1%,0.889104511211214,0.9304596693764985,-0.041355158165284456,0.9963349558424651,0.9926418028686523,0.0036931529738127855
15%, 1%~10%,0.9214497350871437,0.929718875651627,-0.008269140564483357,0.989621671469913,0.9705546247422028,0.019067046727710202
15%, 10%~20%,0.9053144600485413,0.9033336978693663,0.0019807621791749774,0.9659566469654921,0.8824501338014539,0.08350651316403823
15%, 20%~30%,0.8931119023815581,0.8768809532312747,0.016230949150283447,0.9587201511474648,0.8245275398611445,0.13419261128632032
15%, 30%~40%,0.8919231558124782,0.8484423232758829,0.04348083253659529,0.9613134617300322,0.785553742246582,0.17575971948345015
15%, 40%~50%,0.8919040043624937,0.8291211405230893,0.06278286383940446,0.9637568582769127,0.7665432952648253,0.19721356301208737
15%, Overall,0.9293206254075129,0.9242746876360398,0.005045937771473108,0.9875232926099723,0.952389218133381,0.03513407447659134
25%, 0.1%~0.5%,0.7029328935640026,0.9066153837588095,-0.2036824901948069,0.9950506075811129,0.9958694806339657,-0.0008188730528528865
25%, 0.5%~1%,0.7982765053030959,0.9242460157689903,-0.12596951046589444,0.9930514671522186,0.9924354068371177,0.0006160603151008637
25%, 1%~10%,0.8644096950624468,0.9269301212927189,-0.0625204262302721,0.9819673246313139,0.970184012701067,0.011783311930246843
25%, 10%~20%,0.8405541356479039,0.9015505086344779,-0.06099637298657401,0.9414838239074502,0.8818302493056156,0.059653574601834625
25%, 20%~30%,0.8191787123355524,0.8750040720617812,-0.05582535972622882,0.9281021500200907,0.8236472179243185,0.10445493209577217
25%, 30%~40%,0.814731226819855,0.8464494682936295,-0.031718241473774555,0.9317571640060954,0.7847098296221952,0.14704733438390027
25%, 40%~50%,0.8136160367468178,0.8268149487232925,-0.013198911976474714,0.9357846385076058,0.7654228328906578,0.17036180561694803
25%, Overall,0.8760353473651404,0.9222477234446482,-0.04621237607950779,0.9778537988292114,0.9519998166994426,0.02585398212976886
