# 1KGP: phased 4-class R2, all positions (benchmarkAll), pooled within chromosome then Num_SNPs-weighted across chromosomes; mean +/- SD over masking seeds [0, 42, 1024].
missing,method,Rare (<=1%),Low (1-10%),Common (>10%),Overall
5%,BiU-Net,0.9636 ± 0.0000,0.9753 ± 0.0000,0.9658 ± 0.0000,0.9776 ± 0.0000
5%,BiU-Net (chr fine-tuned),0.9919 ± 0.0000,0.9857 ± 0.0000,0.9894 ± 0.0000,0.9917 ± 0.0000
5%,Beagle,0.9290 ± 0.0002,0.9318 ± 0.0001,0.8748 ± 0.0002,0.9257 ± 0.0001
5%,SCDA,0.7878 ± 0.0001,0.9163 ± 0.0000,0.9021 ± 0.0000,0.9246 ± 0.0000
15%,BiU-Net,0.8679 ± 0.0001,0.9214 ± 0.0000,0.8974 ± 0.0000,0.9293 ± 0.0000
15%,BiU-Net (chr fine-tuned),0.9442 ± 0.0000,0.9515 ± 0.0000,0.9657 ± 0.0000,0.9707 ± 0.0000
15%,Beagle,0.9248 ± 0.0002,0.9297 ± 0.0001,0.8733 ± 0.0002,0.9243 ± 0.0001
15%,SCDA,0.5712 ± 0.0001,0.7875 ± 0.0000,0.7549 ± 0.0000,0.8047 ± 0.0000
25%,BiU-Net,0.7408 ± 0.0001,0.8644 ± 0.0000,0.8256 ± 0.0000,0.8760 ± 0.0000
25%,BiU-Net (chr fine-tuned),0.8550 ± 0.0000,0.9131 ± 0.0000,0.9364 ± 0.0000,0.9447 ± 0.0000
25%,Beagle,0.9136 ± 0.0000,0.9269 ± 0.0001,0.8713 ± 0.0002,0.9222 ± 0.0001
25%,SCDA,0.4144 ± 0.0001,0.6687 ± 0.0000,0.6202 ± 0.0000,0.6886 ± 0.0000
