method,missing,MAF_bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Bin_Acc_sd,Bin_R2_sd,Bin_Precision_sd,Bin_Recall_sd,Bin_F1_sd
biunet,5%, 0.1%~0.5%,314228.0,0.9947874656541611,0.8880935296485858,0.9109201368594476,0.997557848471359,0.9513443765727758,4.593971870035357e-06,0.00026085409300194,3.9034166529292274e-05,2.7425741703122513e-05,2.574133799337105e-05
biunet,5%, 0.5%~1%,341641.0,0.9956346166315111,0.9317569928058872,0.9368353795767193,0.9977908959987346,0.9657880177451634,1.76691054306177e-05,0.0002431853000587917,0.00025578823855011435,6.864243112943345e-06,0.00014385750255806325
biunet,5%, 1%~10%,3101005.0,0.995514745879305,0.9720222307460452,0.975979239140132,0.9963108329135452,0.9859530340314713,4.790449164679326e-06,3.848492459287633e-05,2.5775408764692535e-05,8.83060495009376e-06,1.717966676517165e-05
biunet,5%, 10%~20%,1631602.0,0.9916149012201542,0.974334445769585,0.9896384428718328,0.9875161039860867,0.9885743585848479,6.407024344792167e-06,5.090462903422875e-05,1.818281562715394e-05,1.1195232462254167e-05,1.0626138512459438e-05
biunet,5%, 20%~30%,1164888.0,0.9892900485373751,0.9698860795185124,0.9905790137209824,0.9867924335443182,0.9886674422565518,4.188592170633864e-06,5.5725675769265544e-05,6.655700699236e-06,5.1567014992914875e-06,4.074890436886477e-06
biunet,5%, 30%~40%,1014561.0,0.9899012897442759,0.9694003401779261,0.9908979671617696,0.9892866686293734,0.9900800851901845,8.542494620172345e-06,5.230744736190951e-05,1.0905141130210687e-05,8.552043108868546e-06,9.412375582888182e-06
biunet,5%, 40%~50%,934350.0,0.9900523455781122,0.9679758300979474,0.9906795338860958,0.989888611998685,0.9902699105334665,7.166343088590018e-06,5.288572550765484e-05,6.420184251429806e-06,5.906841088908634e-06,5.9920814436737905e-06
biunet,5%, Overall,8502275.0,0.9926213278210833,0.9755312176688355,0.9895484007747394,0.9897680557376295,0.9896578726996254,3.1781048715643036e-06,2.3730365164138e-05,7.703589801506058e-06,2.49438606751008e-06,4.945128110153027e-06
biunet,15%, 0.1%~0.5%,314228.0,0.9818611008567029,0.693008348021154,0.7622015847868222,0.9898358470783958,0.8536152825196966,2.3183025313138997e-05,0.00048354184189400306,0.0002173261840860612,5.952358660279381e-05,0.0001537383452977588
biunet,15%, 0.5%~1%,341641.0,0.9845520767724191,0.7924832033288762,0.8198023896455062,0.987731871284919,0.8911441899967563,1.846073639623863e-05,9.29825775130838e-05,0.00011532617058684408,3.569206538911267e-05,7.679768880945749e-05
biunet,15%, 1%~10%,3101005.0,0.9792083485349057,0.8832716708582898,0.9184989619521772,0.9500064420772288,0.9337817064331682,1.1020870872100395e-05,2.072542737523811e-05,6.995725286971064e-05,3.909402797522629e-06,3.739917714708419e-05
biunet,15%, 10%~20%,1631602.0,0.9683522465167437,0.9061712977643169,0.9624964344026439,0.9507087032534259,0.9565078270674569,1.0209917896023732e-05,3.3739792244999154e-05,1.6981651611168542e-05,2.8893994270888304e-05,2.1424178617059535e-05
biunet,15%, 20%~30%,1164888.0,0.9644175442123398,0.9009193802884989,0.9672080104910606,0.9577668780579808,0.9623718586662539,1.8049360135944842e-05,6.957992288279173e-05,1.6690728966731865e-05,1.698181284051326e-05,1.628378534529689e-05
biunet,15%, 30%~40%,1014561.0,0.9640895511368061,0.8941312809591034,0.9677817128622833,0.9619057741179097,0.9646964841380145,1.931940484035671e-05,4.445721991669655e-05,2.7442397165887007e-05,1.751647637079534e-05,2.082280204552523e-05
biunet,15%, 40%~50%,934350.0,0.9640528174666881,0.8877605850244475,0.9667804397148464,0.9633512890066767,0.9648636405618364,2.1637411164162277e-05,6.894672592697572e-05,1.9716238832880267e-05,2.6190437907897686e-05,2.3173643216744803e-05
biunet,15%, Overall,8502275.0,0.9719417316381364,0.9104950761017885,0.962448926353833,0.9586634543679251,0.9605474792893863,6.545665619376287e-06,1.24739320712897e-05,1.4617136369070158e-05,4.3852381710631154e-06,7.755817471443513e-06
biunet,25%, 0.1%~0.5%,314228.0,0.9711477836398278,0.5813047661743679,0.6821567375819423,0.9754899579078292,0.7886540753719848,1.0869893997927284e-05,0.00041825357271618323,7.610168801879043e-05,5.569984682861325e-05,6.331611952753425e-05
biunet,25%, 0.5%~1%,341641.0,0.9750254409355631,0.6975568656758017,0.7491596425916227,0.966388190481743,0.835239498640404,7.803542794176198e-06,1.4301032590643067e-05,3.16615459358258e-05,4.017909486312653e-05,1.9860683243874973e-05
biunet,25%, 1%~10%,3101005.0,0.9659776500609553,0.8155279296508157,0.8735988794251736,0.9123043025618105,0.8922085488690313,9.50993612388588e-06,6.416577898031858e-05,4.2926357738724706e-05,1.92412436565105e-05,2.0578658231279482e-05
biunet,25%, 10%~20%,1631602.0,0.9498558360544923,0.8533234540455782,0.9398574750745411,0.9221686944138153,0.9307857257669087,8.397812719217543e-06,5.534886348618723e-05,2.0935597555048776e-05,2.2586907316483335e-05,1.0329940723192343e-05
biunet,25%, 20%~30%,1164888.0,0.9437384070009696,0.8458823682838111,0.9476620571296701,0.9335386016531313,0.9403376124182166,1.1385321661570882e-05,7.829767478064369e-05,2.8691737046687524e-05,1.4488848735283969e-05,2.1038906796278373e-05
biunet,25%, 30%~40%,1014561.0,0.9429607380866596,0.8353345759972607,0.9488054640684336,0.9395810288041871,0.9438469981881764,2.1179841080076153e-05,4.332421085183646e-05,3.224388007777082e-05,1.869208403654885e-05,2.440378438575549e-05
biunet,25%, 40%~50%,934350.0,0.9428145964379709,0.8257163463848167,0.9474234614703333,0.9417570830536027,0.9441251347616623,1.6828939364000246e-05,9.655258680937298e-05,1.1098687727605834e-05,1.4678072627095312e-05,1.357916314901908e-05
biunet,25%, Overall,8502275.0,0.9550994586742959,0.859126989464615,0.9400128323272335,0.9334858886348453,0.9367223907608612,4.443117146674205e-06,2.5621257846438785e-05,1.4964481016561199e-05,4.682324890128957e-06,9.02932844363902e-06
beagle,5%, 0.1%~0.5%,314228.0,0.9866123314821394,0.9208542744899688,0.7501665544841134,0.7504617358706752,0.7501699269066687,2.8756489596010462e-05,0.0001028289217211149,0.0005717029866945704,0.0005799164208156269,0.0005874609834588185
beagle,5%, 0.5%~1%,341641.0,0.9849656333384867,0.9367434363146838,0.7499325837574239,0.7502392164040274,0.7500464889126254,2.7751873717787934e-05,0.0002067139826023439,0.00044206094549629755,0.00044030773407983096,0.00043686702311781546
beagle,5%, 1%~10%,3101005.0,0.9611251298638129,0.9405752539289077,0.7492920210680691,0.7494906968626779,0.7493804766176116,7.904095577810163e-05,0.0001428956908236002,0.0005099461580781281,0.0005117278323394292,0.0005150740683599264
beagle,5%, 10%~20%,1631602.0,0.8899357855504942,0.9149240751239941,0.7495472808514888,0.7495132268815952,0.7495247802137524,0.00021532700252561174,0.00016402684149528676,0.0004892852225334346,0.0004903620340484778,0.0004896064757995343
beagle,5%, 20%~30%,1164888.0,0.8358361815717802,0.8895725685782886,0.7491920156880031,0.7491831453845806,0.7491829566188425,0.00033335207522547974,0.00022711189372572567,0.0005040367340093775,0.0005040545069950139,0.0005037867505784421
