missing,MAF_bin,Bin_R2_biunet,Bin_R2_beagle,Bin_R2_delta,Bin_Acc_biunet,Bin_Acc_beagle,Bin_Acc_delta
5%, 0.1%~0.5%,0.8880935296485858,0.9208542744899688,-0.03276074484138303,0.9947874656541611,0.9866123314821394,0.008175134172021647
5%, 0.5%~1%,0.9317569928058872,0.9367434363146838,-0.004986443508796623,0.9956346166315111,0.9849656333384867,0.010668983293024348
5%, 1%~10%,0.9720222307460452,0.9405752539289077,0.031446976817137484,0.995514745879305,0.9611251298638129,0.034389616015492064
5%, 10%~20%,0.974334445769585,0.9149240751239941,0.05941037064559085,0.9916149012201542,0.8899357855504942,0.10167911566965993
5%, 20%~30%,0.9698860795185124,0.8895725685782886,0.08031351094022376,0.9892900485373751,0.8358361815717802,0.15345386696559493
5%, 30%~40%,0.9694003401779261,0.865906248805082,0.10349409137284404,0.9899012897442759,0.801274781841007,0.18862650790326896
5%, 40%~50%,0.9679758300979474,0.849353651871202,0.11862217822674537,0.9900523455781122,0.7835752613630284,0.20647708421508382
5%, Overall,0.9755312176688355,0.9163389258827032,0.05919229178613239,0.9926213278210833,0.8936116429800472,0.099009684841036
15%, 0.1%~0.5%,0.693008348021154,0.918937816605547,-0.225929468584393,0.9818611008567029,0.9864228338735704,-0.004561733016867575
15%, 0.5%~1%,0.7924832033288762,0.9348561645555812,-0.14237296122670495,0.9845520767724191,0.9847443750319869,-0.00019229825956779134
15%, 1%~10%,0.8832716708582898,0.9384925664238501,-0.05522089556556031,0.9792083485349057,0.9607824232740189,0.018425925260886822
15%, 10%~20%,0.9061712977643169,0.9130235198622884,-0.006852222097971428,0.9683522465167437,0.889249171840147,0.07910307467659672
15%, 20%~30%,0.9009193802884989,0.8878570537515363,0.013062326536962598,0.9644175442123398,0.8353523270178348,0.12906521719450503
15%, 30%~40%,0.8941312809591034,0.863883964242132,0.03024731671697145,0.9640895511368061,0.8005947444712094,0.16349480666559668
15%, 40%~50%,0.8877605850244475,0.8472674536679325,0.040493131356515,0.9640528174666881,0.7829358766668127,0.1811169407998754
15%, Overall,0.9104950761017885,0.9147249897120475,-0.0042299136102590396,0.9719417316381364,0.8931212875912089,0.07882044404692745
25%, 0.1%~0.5%,0.5813047661743679,0.9173746504084909,-0.336069884234123,0.9711477836398278,0.986426016276157,-0.015278232636329214
25%, 0.5%~1%,0.6975568656758017,0.9331592592085719,-0.23560239353277024,0.9750254409355631,0.984760074659267,-0.009734633723703867
25%, 1%~10%,0.8155279296508157,0.9364812153304386,-0.12095328567962293,0.9659776500609553,0.9604698266686075,0.005507823392347788
25%, 10%~20%,0.8533234540455782,0.9113821862550587,-0.058058732209480546,0.9498558360544923,0.8887466168684259,0.06110921918606638
25%, 20%~30%,0.8458823682838111,0.8861853515560005,-0.0403029832721894,0.9437384070009696,0.8348356236822766,0.10890278331869296
25%, 30%~40%,0.8353345759972607,0.8620568271060686,-0.026722251108807882,0.9429607380866596,0.8000490389738054,0.14291169911285417
25%, 40%~50%,0.8257163463848167,0.8452777800660805,-0.01956143368126373,0.9428145964379709,0.7822802028958716,0.1605343935420993
25%, Overall,0.859126989464615,0.9132316226993202,-0.05410463323470527,0.9550994586742959,0.8927036168483604,0.062395841825935494
