# SGDP: phased 4-class R2, all positions (benchmarkAll), pooled within chromosome then Num_SNPs-weighted across chromosomes; mean +/- SD over masking seeds [0, 42, 1024].
missing,method,Rare (<=1%),Low (1-10%),Common (>10%),Overall
5%,BiU-Net,0.9108 ± 0.0002,0.9720 ± 0.0000,0.9709 ± 0.0000,0.9755 ± 0.0000
5%,BiU-Net (chr fine-tuned),0.9721 ± 0.0001,0.9900 ± 0.0000,0.9886 ± 0.0000,0.9908 ± 0.0000
5%,Beagle,0.9291 ± 0.0001,0.9406 ± 0.0001,0.8853 ± 0.0002,0.9163 ± 0.0001
5%,SCDA,0.7648 ± 0.0001,0.9031 ± 0.0001,0.9199 ± 0.0000,0.9277 ± 0.0000
15%,BiU-Net,0.7448 ± 0.0003,0.8833 ± 0.0000,0.8987 ± 0.0000,0.9105 ± 0.0000
15%,BiU-Net (chr fine-tuned),0.9083 ± 0.0002,0.9472 ± 0.0001,0.9569 ± 0.0000,0.9624 ± 0.0000
15%,Beagle,0.9272 ± 0.0002,0.9385 ± 0.0001,0.8834 ± 0.0002,0.9147 ± 0.0002
15%,SCDA,0.4719 ± 0.0002,0.7064 ± 0.0001,0.7715 ± 0.0001,0.7833 ± 0.0000
25%,BiU-Net,0.6419 ± 0.0002,0.8155 ± 0.0001,0.8422 ± 0.0000,0.8591 ± 0.0000
25%,BiU-Net (chr fine-tuned),0.8554 ± 0.0001,0.9111 ± 0.0000,0.9294 ± 0.0001,0.9378 ± 0.0000
25%,Beagle,0.9256 ± 0.0001,0.9365 ± 0.0001,0.8816 ± 0.0003,0.9132 ± 0.0002
25%,SCDA,0.3392 ± 0.0004,0.5739 ± 0.0001,0.6642 ± 0.0001,0.6757 ± 0.0000
