arm,reference_handling,denominator,missing,MAF_bin,R2,Num_SNPs,R2_manuscript
no reference,SGDP training split only,Beagle intersection,5%,0.1%~0.5%,0.6596182807417366,6837.0,0.748
no reference,SGDP training split only,Beagle intersection,5%,0.5%~1%,0.7262078296077631,7548.0,0.7947
no reference,SGDP training split only,Beagle intersection,5%,1%~10%,0.9096031161743987,68923.0,0.9343
no reference,SGDP training split only,Beagle intersection,5%,10%~20%,0.9516691430769622,40538.0,0.9685
no reference,SGDP training split only,Beagle intersection,5%,20%~30%,0.9466920434884663,26936.0,0.967
no reference,SGDP training split only,Beagle intersection,5%,30%~40%,0.9459472116123065,23633.0,0.969
no reference,SGDP training split only,Beagle intersection,5%,40%~50%,0.9474195332620868,22028.0,0.968
no reference,SGDP training split only,Beagle intersection,5%,Overall,0.9502193271648715,196443.0,0.968
no reference,SGDP training split only,Beagle intersection,15%,0.1%~0.5%,0.34620064707697745,6837.0,0.5159
no reference,SGDP training split only,Beagle intersection,15%,0.5%~1%,0.4093653790815073,7548.0,0.5783
no reference,SGDP training split only,Beagle intersection,15%,1%~10%,0.7022428287190019,68923.0,0.8256
no reference,SGDP training split only,Beagle intersection,15%,10%~20%,0.8292227694453022,40538.0,0.9127
no reference,SGDP training split only,Beagle intersection,15%,20%~30%,0.8297693973545006,26936.0,0.9128
no reference,SGDP training split only,Beagle intersection,15%,30%~40%,0.823307288613219,23633.0,0.9158
no reference,SGDP training split only,Beagle intersection,15%,40%~50%,0.8213936590003987,22028.0,0.9105
no reference,SGDP training split only,Beagle intersection,15%,Overall,0.8281513297841959,196443.0,0.912
no reference,SGDP training split only,Beagle intersection,25%,0.1%~0.5%,0.23515650700732307,6837.0,0.3988
no reference,SGDP training split only,Beagle intersection,25%,0.5%~1%,0.288004611729384,7548.0,0.4588
no reference,SGDP training split only,Beagle intersection,25%,1%~10%,0.5677448413278615,68923.0,0.7455
no reference,SGDP training split only,Beagle intersection,25%,10%~20%,0.7383788483903766,40538.0,0.8692
no reference,SGDP training split only,Beagle intersection,25%,20%~30%,0.7387393075837387,26936.0,0.8694
no reference,SGDP training split only,Beagle intersection,25%,30%~40%,0.7302650369003012,23633.0,0.8737
no reference,SGDP training split only,Beagle intersection,25%,40%~50%,0.7304960113214855,22028.0,0.8657
no reference,SGDP training split only,Beagle intersection,25%,Overall,0.7348209236020317,196443.0,0.8676
no reference,SGDP training split only,full target axis,5%,0.1%~0.5%,0.6621885321451075,7284.0,0.748
no reference,SGDP training split only,full target axis,5%,0.5%~1%,0.7379802495341403,7985.0,0.7947
no reference,SGDP training split only,full target axis,5%,1%~10%,0.9095784180749994,72092.0,0.9343
no reference,SGDP training split only,full target axis,5%,10%~20%,0.9516986078992268,42001.0,0.9685
no reference,SGDP training split only,full target axis,5%,20%~30%,0.9467975700764225,28117.0,0.967
