arm,reference_handling,missing,MAF_bin,R2,Num_SNPs
no reference,SGDP training split only,5%,0.1%~0.5%,0.780601898839131,942684.0
no reference,SGDP training split only,5%,0.5%~1%,0.8370464714006713,1024923.0
no reference,SGDP training split only,5%,1%~10%,0.9347603821223389,9303015.0
no reference,SGDP training split only,5%,10%~20%,0.9540408917862285,4894806.0
no reference,SGDP training split only,5%,20%~30%,0.9483193823814492,3494664.0
no reference,SGDP training split only,5%,30%~40%,0.9460946238511451,3043683.0
no reference,SGDP training split only,5%,40%~50%,0.9448444421015713,2803050.0
no reference,SGDP training split only,5%,Overall,0.952646234483414,51013650.0
no reference,SGDP training split only,15%,0.1%~0.5%,0.4896564684768767,942684.0
no reference,SGDP training split only,15%,0.5%~1%,0.5780676440487902,1024923.0
no reference,SGDP training split only,15%,1%~10%,0.7738556791286126,9303015.0
no reference,SGDP training split only,15%,10%~20%,0.8386668432708649,4894806.0
no reference,SGDP training split only,15%,20%~30%,0.8334368199580143,3494664.0
no reference,SGDP training split only,15%,30%~40%,0.8218945443269914,3043683.0
no reference,SGDP training split only,15%,40%~50%,0.8128099196699525,2803050.0
no reference,SGDP training split only,15%,Overall,0.8354683878634506,51013650.0
no reference,SGDP training split only,25%,0.1%~0.5%,0.36077011669917525,942684.0
no reference,SGDP training split only,25%,0.5%~1%,0.4424811569818069,1024923.0
no reference,SGDP training split only,25%,1%~10%,0.6598112158106534,9303015.0
no reference,SGDP training split only,25%,10%~20%,0.7513228301138385,4894806.0
no reference,SGDP training split only,25%,20%~30%,0.7447142533714514,3494664.0
no reference,SGDP training split only,25%,30%~40%,0.7283906455680466,3043683.0
no reference,SGDP training split only,25%,40%~50%,0.7171617419898397,2803050.0
no reference,SGDP training split only,25%,Overall,0.7449583494995393,51013650.0
unaligned reference,1KGP samples merged on the 1KGP variant axis,5%,0.1%~0.5%,0.7283206521988903,994134.0
unaligned reference,1KGP samples merged on the 1KGP variant axis,5%,0.5%~1%,0.7925376411289802,1071094.0
