dataset,chr,missing,Num_SNPs_GW-M,Num_SNPs_GW-M+FT,R2_GW-M,R2_GW-M+FT,delta
1KGP,1,15%,1351002.0,1351002.0,0.9297546832176818,0.969291989421349,0.03953730620366713
1KGP,1,25%,1351002.0,1351002.0,0.8766763376250996,0.9422019313995419,0.06552559377444234
1KGP,1,5%,1351002.0,1351002.0,0.9778313965847598,0.991250498383387,0.013419101798627153
1KGP,2,15%,1448254.0,1448254.0,0.9290951023836103,0.9685802609308544,0.039485158547244104
1KGP,2,25%,1448254.0,1448254.0,0.8754304360748559,0.9408422653233594,0.06541182924850342
1KGP,2,5%,1448254.0,1448254.0,0.9776317765920526,0.9910506007863239,0.013418824194271317
1KGP,3,15%,1236898.0,1236884.0,0.9300651101086523,0.9695754596228713,0.039510349514218945
1KGP,3,25%,1236898.0,1236886.6666666667,0.8772604613791911,0.9428008939473913,0.06554043256820019
1KGP,3,5%,1236898.0,1236883.0,0.9778625994971089,0.9912821551946099,0.013419555697501084
1KGP,4,15%,1246671.0,1246671.0,0.9319915043505086,0.9715576566296314,0.03956615227912286
1KGP,4,25%,1246671.0,1246671.0,0.8808935056652262,0.9464863197705711,0.0655928141053449
1KGP,4,5%,1246671.0,1246671.0,0.9784530543099513,0.9918767320215616,0.013423677711610238
1KGP,5,15%,1134630.0,1134624.0,0.9281514115647796,0.9695803188652684,0.04142890730048876
1KGP,5,25%,1134630.0,1134614.0,0.8738644831099824,0.9425849121280971,0.0687204290181147
1KGP,5,5%,1134630.0,1134630.0,0.9773411848897613,0.9913869703483621,0.014045785458600801
1KGP,6,15%,1118806.0,1118806.0,0.9299394322994893,0.9708707370883706,0.040931304788881295
1KGP,6,25%,1118806.0,1118806.0,0.8773806056526007,0.9452981225014012,0.06791751684880054
1KGP,6,5%,1118806.0,1118806.0,0.9777672981124642,0.9916833169737677,0.013916018861303447
1KGP,7,15%,1027961.0,1027961.0,0.9284572553998984,0.970328450375292,0.0418711949753936
1KGP,7,25%,1027961.0,1027961.0,0.87452313541629,0.9439220484771291,0.06939891306083912
1KGP,7,5%,1027961.0,1027961.0,0.9773282261771697,0.9915299770442317,0.01420175086706199
1KGP,8,15%,967978.0,967978.0,0.9278260138076279,0.9697755509918579,0.04194953718423
1KGP,8,25%,967978.0,967978.0,0.8734650940942806,0.9429958813639291,0.06953078726964845
1KGP,8,5%,967978.0,967978.0,0.9771488215740046,0.9914041752781987,0.014255353704194063
1KGP,9,15%,758399.0,758399.0,0.9277043060847682,0.9702142953882955,0.04250998930352734
1KGP,9,25%,758399.0,758399.0,0.8732732924493328,0.9437555329747284,0.07048224052539553
1KGP,9,5%,758399.0,758399.0,0.9770938969421493,0.9915341268528254,0.014440229910676061
1KGP,10,15%,877485.0,877470.0,0.929807704281611,0.9711800255777838,0.041372321296172854
1KGP,10,25%,877485.0,877464.0,0.8770458925792847,0.9455871017501704,0.06854120917088569
1KGP,10,5%,877485.0,877477.0,0.9777411916969139,0.9917839760411743,0.014042784344260428
1KGP,11,15%,860458.0,860458.0,0.9316308573216231,0.9722773970795645,0.04064653975794141
1KGP,11,25%,860458.0,860458.0,0.8800995019620309,0.9475865884685502,0.06748708650651924
1KGP,11,5%,860458.0,860458.0,0.9783891618132833,0.9921806618208633,0.013791500007580004
1KGP,12,15%,835925.0,835925.0,0.9291885669376216,0.9706393206592221,0.04145075372160045
1KGP,12,25%,835925.0,835925.0,0.8759061362824182,0.9445271506124961,0.06862101433007795
1KGP,12,5%,835925.0,835925.0,0.9775890813819365,0.9916751200014643,0.01408603861952784
1KGP,13,15%,628591.0,628591.0,0.9333241748280189,0.9747880708970609,0.041463896069041994
1KGP,13,25%,628591.0,628591.0,0.8829167356231186,0.9520609719518031,0.0691442363286845
1KGP,13,5%,628591.0,628591.0,0.9788751891483048,0.9928869129065534,0.014011723758248551
1KGP,14,15%,564276.0,564276.0,0.9282612931948426,0.9718084678974868,0.04354717470264413
1KGP,14,25%,564276.0,564276.0,0.8742700771707078,0.946590386678659,0.07232030950795121
1KGP,14,5%,564276.0,564276.0,0.9773182763398992,0.9920697563634251,0.014751480023525887
1KGP,15,15%,502786.0,502786.0,0.9285215948319289,0.9718119650183169,0.04329037018638804
1KGP,15,25%,502786.0,502786.0,0.8744163891444213,0.9463088081100484,0.07189241896562704
1KGP,15,5%,502786.0,502786.0,0.9774805619286998,0.9921345293231374,0.014653967394437584
1KGP,16,15%,549928.0,549928.0,0.928003098825339,0.9707376000820055,0.042734501256666446
1KGP,16,25%,549928.0,549928.0,0.8736072276474554,0.9444420906961103,0.07083486304865494
1KGP,16,5%,549928.0,549928.0,0.9772690565808414,0.991769094476208,0.01450003789536658
1KGP,17,15%,474588.0,474588.0,0.9280307924960983,0.97070152355904,0.042670731062941725
1KGP,17,25%,474588.0,474588.0,0.8734183815661347,0.9443492524798369,0.0709308709137022
1KGP,17,5%,474588.0,474588.0,0.9773406626139666,0.9917923769305595,0.014451714316592978
1KGP,18,15%,495051.0,495051.0,0.9287666623674552,0.9727110548480988,0.043944392480643635
1KGP,18,25%,495051.0,495051.0,0.8752857919007989,0.9480884612771542,0.07280266937635527
1KGP,18,5%,495051.0,495051.0,0.9774278407256367,0.9923033842997638,0.014875543574127126
1KGP,19,15%,398684.0,398684.0,0.9277145587022169,0.9718884505384441,0.04417389183622722
1KGP,19,25%,398684.0,398684.0,0.8735275907223891,0.9467923123385642,0.07326472161617514
1KGP,19,5%,398684.0,398684.0,0.9770611851169271,0.9920827861476277,0.015021601030700604
1KGP,20,15%,402405.0,402405.0,0.9268853850345781,0.9720383941202971,0.045153009085719065
1KGP,20,25%,402405.0,402405.0,0.8717096978943188,0.9467121593397994,0.0750024614454805
1KGP,20,5%,402405.0,402405.0,0.9769425112222753,0.9922008167119866,0.015258305489711299
1KGP,21,15%,243732.0,243732.0,0.9291324781421224,0.9742205749376885,0.045088096795566135
1KGP,21,25%,243732.0,243732.0,0.8756838992142595,0.9508749440714244,0.07519104485716488
1KGP,21,5%,243732.0,243732.0,0.977544724740174,0.9928316467470192,0.015286922006845227
1KGP,22,15%,241113.0,241113.0,0.9257500929751282,0.9709208396477026,0.04517074667257437
1KGP,22,25%,241113.0,241113.0,0.8698832972551752,0.9448933131082629,0.07501001585308764
1KGP,22,5%,241113.0,241113.0,0.9766025876098,0.9918503553931881,0.0152477677833881
SGDP,1,15%,658802.0,658802.0,0.9102068491734171,0.9639463985445849,0.05373954937116776
SGDP,1,25%,658802.0,658802.0,0.858518646193232,0.93973372473784,0.08121507854460797
SGDP,1,5%,658802.0,658802.0,0.9754049630398044,0.9913385687344564,0.015933605694651964
SGDP,2,15%,705231.0,705231.0,0.9075312611282009,0.9628464273047183,0.05531516617651733
SGDP,2,25%,705231.0,705231.0,0.8545064385066596,0.938162910946961,0.08365647244030139
SGDP,2,5%,705231.0,705231.0,0.9745728709906128,0.9910288819279076,0.016456010937294763
SGDP,3,15%,615207.0,615207.0,0.9113370816938736,0.9641662260437972,0.052829144349923585
SGDP,3,25%,615207.0,615207.0,0.8603822749080251,0.9404476405008203,0.0800653655927952
SGDP,3,5%,615207.0,615207.0,0.9756812560678707,0.9913764324421943,0.015695176374323605
SGDP,4,15%,622710.0,622710.0,0.9142886827152038,0.9669505824221775,0.05266189970697366
SGDP,4,25%,622710.0,622710.0,0.8650654707835757,0.9448875693814416,0.07982209859786593
SGDP,4,5%,622710.0,622710.0,0.9764995400191615,0.9921166756421448,0.01561713562298328
SGDP,5,15%,538974.0,538974.0,0.9080737083646203,0.9373352948942645,0.029261586529644168
SGDP,5,25%,538974.0,538974.0,0.8559113358159568,0.9018986708664877,0.045987335050530875
SGDP,5,5%,538974.0,538974.0,0.974725836847071,0.9829590784482997,0.008233241601228625
SGDP,6,15%,564646.0,564646.0,0.9146235188847651,0.9654390135888588,0.05081549470409363
SGDP,6,25%,564646.0,564646.0,0.8653618689820424,0.9422222569901116,0.07686038800806927
SGDP,6,5%,564646.0,564646.0,0.9767436072165548,0.9916839558941257,0.01494034867757088
SGDP,7,15%,497694.0,497694.0,0.9142519823962413,0.9660026859129687,0.05175070351672739
SGDP,7,25%,497694.0,497694.0,0.8649593198337122,0.9432653083943331,0.07830598856062088
SGDP,7,5%,497694.0,497694.0,0.9766922072666223,0.9919048543816421,0.015212647115019795
SGDP,8,15%,476857.0,476857.0,0.9107540659797696,0.9666972106625074,0.055943144682737755
SGDP,8,25%,476857.0,476857.0,0.8596438408764236,0.9441890058253083,0.08454516494888464
SGDP,8,5%,476857.0,476857.0,0.9755815276993584,0.9920801859365941,0.01649865823723573
SGDP,9,15%,370840.0,370840.0,0.9122747902893912,0.9653076149801517,0.05303282469076054
SGDP,9,25%,370840.0,370840.0,0.8617699341752374,0.9419177600969478,0.08014782592171044
SGDP,9,5%,370840.0,370840.0,0.9762555691654446,0.9918401582776957,0.015584589112251024
SGDP,10,15%,432149.0,432149.0,0.911856514103918,0.966484306425424,0.05462779232150605
SGDP,10,25%,432149.0,432149.0,0.8609504423813504,0.94372963196482,0.08277918958346953
SGDP,10,5%,432149.0,432149.0,0.9761160887799578,0.9921294509959614,0.01601336221600358
SGDP,11,15%,419479.0,419479.0,0.9109511778344904,0.9681807095310183,0.05722953169652789
SGDP,11,25%,419479.0,419479.0,0.8598870259419206,0.9464815774376527,0.08659455149573214
SGDP,11,5%,419479.0,419479.0,0.975559804004655,0.9924944817415086,0.01693467773685353
SGDP,12,15%,409526.0,409526.0,0.9111395651842646,0.9662403572528504,0.05510079206858576
SGDP,12,25%,409526.0,409526.0,0.8599592489386779,0.9432862450725513,0.0833269961338734
SGDP,12,5%,409526.0,409526.0,0.9758757785340246,0.9920444017324704,0.01616862319844581
SGDP,13,15%,313150.0,313150.0,0.9129786893753199,0.9694017375342935,0.05642304815897359
SGDP,13,25%,313150.0,313150.0,0.8627759004918382,0.9483924207420156,0.08561652025017741
SGDP,13,5%,313150.0,313150.0,0.9761632608376466,0.9927984972884749,0.016635236450828317
SGDP,14,15%,281546.0,281546.0,0.9075599506165105,0.966564563405799,0.05900461278928848
SGDP,14,25%,281546.0,281546.0,0.8545966994193831,0.943676247745907,0.08907954832652387
SGDP,14,5%,281546.0,281546.0,0.9748346374714457,0.9921489744522433,0.01731433698079754
SGDP,15,15%,249296.0,249296.0,0.8974382501071737,0.9290855853276444,0.031647335220470696
SGDP,15,25%,249296.0,249296.0,0.8392904936170907,0.8886307589037087,0.049340265286617946
SGDP,15,5%,249296.0,249296.0,0.9717812225798751,0.9805993891296696,0.008818166549794504
SGDP,16,15%,261945.0,261945.0,0.9067141783577496,0.9657607086870105,0.05904653032926088
SGDP,16,25%,261945.0,261945.0,0.8534045174271211,0.9425150820616955,0.08911056463457445
SGDP,16,5%,261945.0,261945.0,0.9745815458811541,0.991987205924695,0.017405660043540938
SGDP,17,15%,220508.0,220508.0,0.9063690132953542,0.9674778517061476,0.0611088384107934
SGDP,17,25%,220508.0,220508.0,0.8527855990240933,0.945062652094367,0.09227705307027367
SGDP,17,5%,220508.0,220508.0,0.974317694134145,0.9923992016581001,0.018081507523955098
SGDP,18,15%,247199.0,247199.0,0.911500299192706,0.9684615657888203,0.056961266596114224
SGDP,18,25%,247199.0,247199.0,0.8606556060893741,0.9468396274106855,0.08618402132131142
SGDP,18,5%,247199.0,247199.0,0.9758554636828766,0.9926384053014504,0.016782941618573854
SGDP,19,15%,196443.0,196443.0,0.9067105939984708,0.93262446503411,0.025913871035639247
SGDP,19,25%,196443.0,196443.0,0.8534307706828715,0.8944990882918223,0.0410683176089508
SGDP,19,5%,196443.0,196443.0,0.9744310744365666,0.9813367666784533,0.006905692241886641
SGDP,20,15%,189900.0,189900.0,0.9109567297655268,0.9685530638495834,0.05759633408405662
SGDP,20,25%,189900.0,189900.0,0.859592633247252,0.9468622864053646,0.08726965315811264
SGDP,20,5%,189900.0,189900.0,0.9756904748220312,0.992636811083537,0.016946336261505768
SGDP,21,15%,119323.0,119323.0,0.9157754389532141,0.9717906731778134,0.05601523422459931
SGDP,21,25%,119323.0,119323.0,0.8674735955947349,0.9527102034300707,0.08523660783533582
SGDP,21,5%,119323.0,119323.0,0.9771274153972573,0.9935878955227647,0.016460480125507382
SGDP,22,15%,110850.0,110850.0,0.9074086034390184,0.9674946513639973,0.06008604792497885
SGDP,22,25%,110850.0,110850.0,0.8542272237662806,0.9452697614295293,0.09104253766324877
SGDP,22,5%,110850.0,110850.0,0.9746438875614745,0.9924099811511661,0.01776609358969161
