dataset,arm,missing,MAF_bin,R2,chromosomes,Num_SNPs
1KGP,GW-M,15%,0.1%~0.5%,0.8539265721940483,22,4579678.0
1KGP,GW-M,15%,0.5%~1%,0.8891045112112141,22,3014809.0
1KGP,GW-M,15%,1%~10%,0.921449735087144,22,6242570.0
1KGP,GW-M,15%,10%~20%,0.9053144600485414,22,1353480.0
1KGP,GW-M,15%,20%~30%,0.8931119023815581,22,879876.0
1KGP,GW-M,15%,30%~40%,0.8919231558124778,22,686102.0
1KGP,GW-M,15%,40%~50%,0.8919040043624935,22,609106.0
1KGP,GW-M,15%,Overall,0.9293206254075129,22,17365621.0
1KGP,GW-M,25%,0.1%~0.5%,0.7029328935640026,22,4579678.0
1KGP,GW-M,25%,0.5%~1%,0.798276505303096,22,3014809.0
1KGP,GW-M,25%,1%~10%,0.8644096950624465,22,6242570.0
1KGP,GW-M,25%,10%~20%,0.8405541356479038,22,1353480.0
1KGP,GW-M,25%,20%~30%,0.8191787123355524,22,879876.0
1KGP,GW-M,25%,30%~40%,0.8147312268198552,22,686102.0
1KGP,GW-M,25%,40%~50%,0.8136160367468179,22,609106.0
1KGP,GW-M,25%,Overall,0.8760353473651402,22,17365621.0
1KGP,GW-M,5%,0.1%~0.5%,0.9550243350396069,22,4579678.0
1KGP,GW-M,5%,0.5%~1%,0.9765587311519154,22,3014809.0
1KGP,GW-M,5%,1%~10%,0.9752735925199594,22,6242570.0
1KGP,GW-M,5%,10%~20%,0.9681258597487552,22,1353480.0
1KGP,GW-M,5%,20%~30%,0.9643087927935668,22,879876.0
1KGP,GW-M,5%,30%~40%,0.9643268748544718,22,686102.0
1KGP,GW-M,5%,40%~50%,0.9645169709640662,22,609106.0
1KGP,GW-M,5%,Overall,0.9776456769903138,22,17365621.0
1KGP,GW-M+FT,15%,0.1%~0.5%,0.9469259520770165,22,4579664.666666667
1KGP,GW-M+FT,15%,0.5%~1%,0.9399643054685345,22,3014804.0
1KGP,GW-M+FT,15%,1%~10%,0.9514914626128451,22,6242557.333333333
1KGP,GW-M+FT,15%,10%~20%,0.9633145740715294,22,1353477.0
1KGP,GW-M+FT,15%,20%~30%,0.9675646485742693,22,879875.6666666666
1KGP,GW-M+FT,15%,30%~40%,0.9673901317780516,22,686102.0
1KGP,GW-M+FT,15%,40%~50%,0.9663170304370019,22,609105.3333333334
1KGP,GW-M+FT,15%,Overall,0.9707232847410969,22,17365586.0
1KGP,GW-M+FT,25%,0.1%~0.5%,0.8393262311654124,22,4579659.333333333
1KGP,GW-M+FT,25%,0.5%~1%,0.8786858608396807,22,3014802.0
1KGP,GW-M+FT,25%,1%~10%,0.9130693168568468,22,6242554.333333333
1KGP,GW-M+FT,25%,10%~20%,0.9325190024310175,22,1353479.0
1KGP,GW-M+FT,25%,20%~30%,0.9396306396634442,22,879874.6666666666
1KGP,GW-M+FT,25%,30%~40%,0.9392360241308979,22,686099.0
1KGP,GW-M+FT,25%,40%~50%,0.9371580881989748,22,609104.3333333334
1KGP,GW-M+FT,25%,Overall,0.9447118019896142,22,17365572.666666668
1KGP,GW-M+FT,5%,0.1%~0.5%,0.9901245161736586,22,4579668.0
1KGP,GW-M+FT,5%,0.5%~1%,0.9946027393832831,22,3014806.0
1KGP,GW-M+FT,5%,1%~10%,0.9857291452053903,22,6242561.333333333
1KGP,GW-M+FT,5%,10%~20%,0.9886283757719384,22,1353479.0
1KGP,GW-M+FT,5%,20%~30%,0.9900248541195934,22,879875.6666666666
1KGP,GW-M+FT,5%,30%~40%,0.9899971239577625,22,686102.0
1KGP,GW-M+FT,5%,40%~50%,0.9896654902812626,22,609106.0
1KGP,GW-M+FT,5%,Overall,0.991693170545932,22,17365598.0
SGDP,GW-M,15%,0.1%~0.5%,0.6930083480211539,22,314228.0
SGDP,GW-M,15%,0.5%~1%,0.7924832033288763,22,341641.0
SGDP,GW-M,15%,1%~10%,0.8832716708582896,22,3101005.0
SGDP,GW-M,15%,10%~20%,0.9061712977643172,22,1631602.0
SGDP,GW-M,15%,20%~30%,0.900919380288499,22,1164888.0
SGDP,GW-M,15%,30%~40%,0.8941312809591034,22,1014561.0
SGDP,GW-M,15%,40%~50%,0.8877605850244477,22,934350.0
SGDP,GW-M,15%,Overall,0.9104950761017884,22,8502275.0
SGDP,GW-M,25%,0.1%~0.5%,0.5813047661743679,22,314228.0
SGDP,GW-M,25%,0.5%~1%,0.6975568656758016,22,341641.0
SGDP,GW-M,25%,1%~10%,0.8155279296508153,22,3101005.0
SGDP,GW-M,25%,10%~20%,0.8533234540455785,22,1631602.0
SGDP,GW-M,25%,20%~30%,0.8458823682838112,22,1164888.0
SGDP,GW-M,25%,30%~40%,0.8353345759972608,22,1014561.0
SGDP,GW-M,25%,40%~50%,0.8257163463848168,22,934350.0
SGDP,GW-M,25%,Overall,0.8591269894646151,22,8502275.0
SGDP,GW-M,5%,0.1%~0.5%,0.8880935296485859,22,314228.0
SGDP,GW-M,5%,0.5%~1%,0.9317569928058871,22,341641.0
