model,missing,MAF_bin,R2,R2_sd,Num_SNPs
SGDP training split only,5%,0.1%~0.5%,0.7806018988391307,0.0004268240853248485,314228
SGDP training split only,5%,0.5%~1%,0.8370464714006712,0.00010762118441595395,341641
SGDP training split only,5%,1%~10%,0.9347603821223389,6.633458234361568e-05,3101005
SGDP training split only,5%,10%~20%,0.9540408917862285,2.4613235801058268e-05,1631602
SGDP training split only,5%,20%~30%,0.948319382381449,3.345242725649741e-05,1164888
SGDP training split only,5%,30%~40%,0.9460946238511453,4.306788928759013e-05,1014561
SGDP training split only,5%,40%~50%,0.9448444421015715,3.3253916281329594e-05,934350
SGDP training split only,5%,Overall,0.9530198163175241,5.7363489835068255e-06,8502275
SGDP training split only,15%,0.1%~0.5%,0.48965646847687677,9.95464891692702e-05,314228
SGDP training split only,15%,0.5%~1%,0.5780676440487903,0.00022781235401807796,341641
SGDP training split only,15%,1%~10%,0.7738556791286128,8.74092795321783e-05,3101005
SGDP training split only,15%,10%~20%,0.8386668432708649,4.78842226383645e-05,1631602
SGDP training split only,15%,20%~30%,0.8334368199580146,7.982806710150325e-05,1164888
SGDP training split only,15%,30%~40%,0.8218945443269913,0.00012218145294130188,1014561
SGDP training split only,15%,40%~50%,0.8128099196699528,4.09247202454459e-05,934350
SGDP training split only,15%,Overall,0.8366749346790883,1.4097984915139357e-05,8502275
SGDP training split only,25%,0.1%~0.5%,0.36077011669917525,0.0005377702250971213,314228
SGDP training split only,25%,0.5%~1%,0.44248115698180673,0.0004363921171952021,341641
SGDP training split only,25%,1%~10%,0.6598112158106536,0.00012304102876337453,3101005
SGDP training split only,25%,10%~20%,0.7513228301138383,5.511614396669949e-05,1631602
SGDP training split only,25%,20%~30%,0.7447142533714515,2.397384043595596e-05,1164888
SGDP training split only,25%,30%~40%,0.7283906455680466,4.7960196591525273e-05,1014561
SGDP training split only,25%,40%~50%,0.7171617419898396,5.3842186126416414e-05,934350
SGDP training split only,25%,Overall,0.7467157570682771,4.325369037911555e-05,8502275
reference merged on the SGDP axis,5%,0.1%~0.5%,0.8880935296485859,0.0002608540930019129,314228
reference merged on the SGDP axis,5%,0.5%~1%,0.9317569928058872,0.0002431853000587917,341641
reference merged on the SGDP axis,5%,1%~10%,0.9720222307460452,3.84849245929067e-05,3101005
reference merged on the SGDP axis,5%,10%~20%,0.974334445769585,5.090462903422875e-05,1631602
reference merged on the SGDP axis,5%,20%~30%,0.9698860795185124,5.5725675769281346e-05,1164888
reference merged on the SGDP axis,5%,30%~40%,0.9694003401779261,5.23074473618943e-05,1014561
reference merged on the SGDP axis,5%,40%~50%,0.9679758300979473,5.2885725507710304e-05,934350
reference merged on the SGDP axis,5%,Overall,0.9755312176688355,2.3730365164138e-05,8502275
reference merged on the SGDP axis,15%,0.1%~0.5%,0.693008348021154,0.00048354184189400306,314228
reference merged on the SGDP axis,15%,0.5%~1%,0.7924832033288762,9.298257751307328e-05,341641
reference merged on the SGDP axis,15%,1%~10%,0.8832716708582898,2.0725427375222674e-05,3101005
reference merged on the SGDP axis,15%,10%~20%,0.9061712977643169,3.3739792244996396e-05,1631602
reference merged on the SGDP axis,15%,20%~30%,0.9009193802884989,6.957992288279582e-05,1164888
reference merged on the SGDP axis,15%,30%~40%,0.8941312809591034,4.4457219916707164e-05,1014561
reference merged on the SGDP axis,15%,40%~50%,0.8877605850244475,6.894672592697408e-05,934350
reference merged on the SGDP axis,15%,Overall,0.9104950761017885,1.2473932071289698e-05,8502275
reference merged on the SGDP axis,25%,0.1%~0.5%,0.5813047661743679,0.00041825357271614523,314228
reference merged on the SGDP axis,25%,0.5%~1%,0.6975568656758017,1.4301032590635969e-05,341641
reference merged on the SGDP axis,25%,1%~10%,0.8155279296508157,6.416577898030289e-05,3101005
reference merged on the SGDP axis,25%,10%~20%,0.8533234540455782,5.5348863486171447e-05,1631602
reference merged on the SGDP axis,25%,20%~30%,0.8458823682838111,7.829767478064167e-05,1164888
reference merged on the SGDP axis,25%,30%~40%,0.8353345759972607,4.3324210851836656e-05,1014561
reference merged on the SGDP axis,25%,40%~50%,0.8257163463848167,9.655258680937997e-05,934350
reference merged on the SGDP axis,25%,Overall,0.859126989464615,2.5621257846409786e-05,8502275
