missing,MAF_bin,Bin_R2_old,Bin_Acc_old,Bin_R2_new,Bin_Acc_new,R2_delta,Acc_delta
5%,0.1%~0.5%,0.9885989373972501,0.9999252056767837,0.9441920066702805,0.9994724062647835,-0.04440693072696966,-0.00045279941200015994
5%,0.5%~1%,0.9920772149989268,0.9999081294662734,0.9642193416212068,0.9994335500764729,-0.027857873377719944,-0.0004745793898004447
5%,1%~10%,0.9649581019708603,0.9978898335265498,0.9626652826415051,0.9965125979663293,-0.0022928193293552113,-0.0013772355602205133
5%,10%~20%,0.9791588892940511,0.9949229532205125,0.9535636121724119,0.9853724641447706,-0.025595277121639226,-0.009550489075741853
5%,20%~30%,0.9845503861330176,0.9942114242641993,0.932025580736198,0.9776285145597333,-0.052524805396819585,-0.016582909704465965
5%,30%~40%,0.9867057371485575,0.9938616434522617,0.9095025643654804,0.9711049165693381,-0.07720317278307709,-0.022756726882923628
5%,40%~50%,0.9875755297807096,0.9938565941474566,0.8973119905160574,0.9689716118476746,-0.09026353926465225,-0.024884982299782088
15%,0.1%~0.5%,0.9287951538817509,0.999463237160367,0.8132092467086999,0.9979985478978671,-0.11558590717305106,-0.0014646892624998742
15%,0.5%~1%,0.8580661343849485,0.9979555510923092,0.8271667695360382,0.9964598712160156,-0.030899364848910316,-0.0014956798762935097
15%,1%~10%,0.8847783817700021,0.9930359518480606,0.8802108322439418,0.9887149525419359,-0.0045675495260603105,-0.004320999306124729
15%,10%~20%,0.9374722886989741,0.9846794024397362,0.8619024972570587,0.9556503881268067,-0.07556979144191545,-0.02902901431292948
15%,20%~30%,0.9535618748834587,0.9825134281084447,0.8042569348579404,0.9318781384113448,-0.1493049400255183,-0.05063528969709985
15%,30%~40%,0.9600168719838242,0.9813869935740035,0.7504558466635999,0.912437034870495,-0.20956102532022436,-0.06894995870350851
15%,40%~50%,0.9624483081373872,0.9814950878643333,0.7224104221505616,0.9055543688260396,-0.24003788598682563,-0.07594071903829369
25%,0.1%~0.5%,0.698316893175846,0.9976741561378142,0.6065911062914363,0.9951989961774803,-0.09172578688440969,-0.0024751599603338725
25%,0.5%~1%,0.7072921946251208,0.9957490949204394,0.6790427485877503,0.993195515712679,-0.028249446037370562,-0.002553579207760448
25%,1%~10%,0.7986212833434924,0.9877928423211699,0.788223469296946,0.9802381018079145,-0.010397814046546383,-0.007554740513255442
25%,10%~20%,0.8907906717788322,0.9732801587027025,0.764661597661028,0.9231997402538785,-0.12612907411780416,-0.05008041844882394
25%,20%~30%,0.9191004650352204,0.9695735293036102,0.6804038496221824,0.8826951425377979,-0.238696615413038,-0.08687838676581228
25%,30%~40%,0.9305472399325093,0.9676891364923623,0.6102440809711039,0.8498279920333153,-0.3203031589614054,-0.11786114445904705
25%,40%~50%,0.9346852652210288,0.9677905671163519,0.5748936465307416,0.8384419665532153,-0.3597916186902872,-0.12934860056313657
