missing,MAF_bin,Bin_R2_old,Bin_Acc_old,Bin_R2_new,Bin_Acc_new,R2_delta,Acc_delta
5%,0.1%~0.5%,0.9400872269726154,0.9984343226418154,0.6509208554113428,0.9867826600878327,-0.28916637156127256,-0.011651662553982756
5%,0.5%~1%,0.9453774873014466,0.9986737653614229,0.6748129665120874,0.9877072148868075,-0.2705645207893591,-0.010966550474615477
5%,1%~10%,0.9729133554120052,0.9980653608722618,0.8958572869101923,0.9876755575301764,-0.0770560685018129,-0.01038980334208539
5%,10%~20%,0.9701854304217271,0.993783509422061,0.9445689378689757,0.9850408054614967,-0.025616492552751446,-0.008742703960564202
5%,20%~30%,0.9729242288040778,0.991278688962853,0.9425614313422027,0.9817369458868065,-0.03036279746187509,-0.009541743076046494
5%,30%~40%,0.9804434490367943,0.9924705490108914,0.9437716668268695,0.9829621152354062,-0.03667178220992473,-0.009508433775485159
5%,40%~50%,0.9825004072356555,0.9928510778164288,0.9432464760638402,0.9834205966307569,-0.039253931171815304,-0.009430481185671913
15%,0.1%~0.5%,0.9087137551336505,0.9978199034394999,0.3248241980346337,0.9542562106571643,-0.5838895570990168,-0.04356369278233563
15%,0.5%~1%,0.907069864573327,0.9975097320815206,0.3523723571761643,0.957461574176168,-0.5546975073971627,-0.040048157905352655
15%,1%~10%,0.8618036045939675,0.988983616472004,0.6719943038494002,0.9539100047271297,-0.18980930074456737,-0.03507361174487422
15%,10%~20%,0.8946268699493475,0.9770620614207995,0.8096404329895411,0.9460655513732048,-0.08498643695980634,-0.03099651004759474
15%,20%~30%,0.9178930796413742,0.9732659635615084,0.8149216884667966,0.9393593651652159,-0.10297139117457765,-0.03390659839629251
15%,30%~40%,0.9399665238911799,0.9761806636042577,0.8166515616142798,0.9406695901888785,-0.12331496227690009,-0.03551107341537918
15%,40%~50%,0.9462493246962752,0.9767990997653545,0.809959465099027,0.9402101572496325,-0.13628985959724815,-0.03658894251572198
25%,0.1%~0.5%,0.8571799534386243,0.9964850231420836,0.21631301122614252,0.9291590255879673,-0.6408669422124817,-0.06732599755411639
25%,0.5%~1%,0.8438988377339266,0.9957970765590414,0.2359088889453508,0.9330143677549074,-0.6079899487885758,-0.06278270880413395
25%,1%~10%,0.7764972746917116,0.9817373237247159,0.5311307096048079,0.9274245005353707,-0.2453665650869037,-0.05431282318934516
25%,10%~20%,0.8397338438449579,0.9646783588267761,0.7101709226587825,0.9155497711976724,-0.1295629211861754,-0.04912858762910366
25%,20%~30%,0.8777376687969202,0.959412385879082,0.7189213282778067,0.9051139639242374,-0.15881634051911342,-0.05429842195484458
25%,30%~40%,0.9083971882139195,0.9635158121557877,0.7200251789706359,0.906009480754084,-0.18837200924328357,-0.05750633140170369
25%,40%~50%,0.9169463005138215,0.9643626685657418,0.7125679883549125,0.9055027112453168,-0.204378312158909,-0.05885995732042504
