epoch,n_buckets,train_loss,train_acc,val_loss,val_acc,is_best
1,1,0.0578,0.8363,,,False
2,1,0.0566,0.8394,,,False
3,1,0.0555,0.8423,,,False
4,1,0.0543,0.8454,,,False
5,1,0.0531,0.8485,0.0563,0.8394,False
6,1,0.0518,0.8516,,,False
7,1,0.0506,0.8548,,,False
8,1,0.0493,0.858,,,False
9,1,0.0481,0.8612,,,False
10,1,0.0468,0.8644,0.0498,0.8557,False
11,1,0.0456,0.8677,,,False
12,1,0.0444,0.8709,,,False
13,1,0.0431,0.8741,,,False
14,1,0.0419,0.8773,,,False
15,1,0.0407,0.8805,0.0435,0.8726,False
16,1,0.0395,0.8837,,,False
17,1,0.0384,0.8868,,,False
18,1,0.0372,0.89,,,False
19,1,0.0361,0.8931,,,False
20,1,0.0349,0.8962,0.0375,0.8889,False
21,1,0.0338,0.8992,,,False
22,1,0.0328,0.9023,,,False
23,1,0.0317,0.9053,,,False
24,1,0.0306,0.9083,,,False
25,1,0.0296,0.9112,0.0318,0.9051,False
26,1,0.0294,0.9116,,,False
27,1,0.0292,0.912,,,False
28,1,0.0291,0.9124,,,False
29,1,0.0289,0.9129,,,False
30,1,0.0287,0.9133,0.031,0.9068,False
31,1,0.0286,0.9137,,,False
32,1,0.0284,0.9141,,,False
33,1,0.0283,0.9145,,,False
34,1,0.0282,0.9149,,,False
35,1,0.028,0.9153,0.0301,0.9101,False
36,1,0.0279,0.9157,,,False
37,1,0.0277,0.9161,,,False
38,1,0.0276,0.9165,,,False
39,1,0.0275,0.9169,,,False
40,1,0.0273,0.9173,0.0295,0.9123,False
41,1,0.0272,0.9177,,,False
42,1,0.0271,0.9181,,,False
43,1,0.027,0.9184,,,False
44,1,0.0268,0.9188,,,False
45,1,0.0267,0.9192,0.0287,0.9141,False
46,1,0.0266,0.9195,,,False
47,1,0.0265,0.9198,,,False
48,1,0.0264,0.9202,,,False
49,1,0.0263,0.9205,,,False
50,1,0.0262,0.9208,0.0283,0.9154,False
51,1,0.0261,0.9211,,,False
52,1,0.026,0.9215,,,False
53,1,0.0259,0.9217,,,False
54,1,0.0259,0.922,,,False
55,1,0.0258,0.9223,0.0277,0.9174,False
56,1,0.0257,0.9226,,,False
57,1,0.0256,0.9228,,,False
58,1,0.0255,0.9231,,,False
59,1,0.0255,0.9233,,,False
60,1,0.0254,0.9236,0.0273,0.9186,False
61,1,0.0253,0.9237,,,False
62,1,0.0253,0.924,,,False
63,1,0.0252,0.9242,,,False
64,1,0.0252,0.9243,,,False
65,1,0.0251,0.9245,0.0272,0.9191,False
66,1,0.025,0.9247,,,False
67,1,0.025,0.9249,,,False
68,1,0.0249,0.9251,,,False
69,1,0.0249,0.9252,,,False
70,1,0.0249,0.9253,0.0268,0.9205,False
71,1,0.0248,0.9255,,,False
72,1,0.0248,0.9256,,,False
73,1,0.0247,0.9257,,,False
74,1,0.0247,0.9259,,,False
75,1,0.0247,0.926,0.0265,0.9212,False
76,1,0.0246,0.9261,,,False
77,1,0.0246,0.9262,,,False
78,1,0.0246,0.9263,,,False
79,1,0.0245,0.9264,,,False
80,1,0.0245,0.9264,0.0263,0.9217,False
81,1,0.0245,0.9265,,,False
82,1,0.0245,0.9266,,,False
83,1,0.0245,0.9266,,,False
84,1,0.0244,0.9267,,,False
85,1,0.0244,0.9267,0.0263,0.9219,False
86,1,0.0244,0.9267,,,False
87,1,0.0244,0.9268,,,False
88,1,0.0244,0.9269,,,False
89,1,0.0244,0.9269,,,False
90,1,0.0244,0.9269,0.0262,0.9221,True
91,1,0.0244,0.9269,,,False
92,1,0.0244,0.9269,,,False
93,1,0.0244,0.9269,,,False
94,1,0.0244,0.927,,,False
95,1,0.0244,0.927,0.0263,0.9222,False
96,1,0.0244,0.927,,,False
97,1,0.0243,0.927,,,False
98,1,0.0243,0.927,,,False
99,1,0.0243,0.927,,,False
100,1,0.0243,0.927,0.0262,0.9222,False
