epoch,n_buckets,train_loss,train_acc,val_loss,val_acc,is_best
1,1,0.059,0.8308,,,False
2,1,0.0578,0.8339,,,False
3,1,0.0567,0.8369,,,False
4,1,0.0556,0.8399,,,False
5,1,0.0545,0.8429,0.0566,0.838,False
6,1,0.0534,0.8459,,,False
7,1,0.0523,0.8489,,,False
8,1,0.0512,0.8519,,,False
9,1,0.0501,0.855,,,False
10,1,0.0489,0.858,0.0508,0.8536,False
11,1,0.0478,0.8611,,,False
12,1,0.0467,0.8641,,,False
13,1,0.0456,0.8671,,,False
14,1,0.0445,0.8701,,,False
15,1,0.0434,0.8731,0.045,0.8687,False
16,1,0.0423,0.8762,,,False
17,1,0.0413,0.8791,,,False
18,1,0.0402,0.8821,,,False
19,1,0.0391,0.8851,,,False
20,1,0.0381,0.888,0.0394,0.8845,False
21,1,0.037,0.891,,,False
22,1,0.036,0.8939,,,False
23,1,0.0349,0.8969,,,False
24,1,0.0339,0.8998,,,False
25,1,0.0329,0.9027,0.034,0.8991,False
26,1,0.0328,0.9028,,,False
27,1,0.0327,0.9029,,,False
28,1,0.0327,0.9031,,,False
29,1,0.0326,0.9032,,,False
30,1,0.0325,0.9033,0.0336,0.9007,False
31,1,0.0325,0.9035,,,False
32,1,0.0324,0.9036,,,False
33,1,0.0323,0.9037,,,False
34,1,0.0323,0.9038,,,False
35,1,0.0322,0.904,0.0333,0.9014,False
36,1,0.0322,0.9041,,,False
37,1,0.0321,0.9042,,,False
38,1,0.032,0.9043,,,False
39,1,0.032,0.9044,,,False
40,1,0.0319,0.9045,0.033,0.9017,False
41,1,0.0319,0.9046,,,False
42,1,0.0318,0.9047,,,False
43,1,0.0318,0.9049,,,False
44,1,0.0317,0.9049,,,False
45,1,0.0317,0.905,0.0328,0.9026,False
46,1,0.0316,0.9051,,,False
47,1,0.0316,0.9052,,,False
48,1,0.0315,0.9053,,,False
49,1,0.0315,0.9054,,,False
50,1,0.0315,0.9055,0.0325,0.9026,False
51,1,0.0314,0.9056,,,False
52,1,0.0314,0.9056,,,False
53,1,0.0314,0.9057,,,False
54,1,0.0313,0.9058,,,False
55,1,0.0313,0.9059,0.0323,0.9033,False
56,1,0.0312,0.9059,,,False
57,1,0.0312,0.906,,,False
58,1,0.0312,0.9061,,,False
59,1,0.0312,0.9061,,,False
60,1,0.0311,0.9062,0.0321,0.9032,False
61,1,0.0311,0.9063,,,False
62,1,0.0311,0.9063,,,False
63,1,0.031,0.9064,,,False
64,1,0.031,0.9064,,,False
65,1,0.031,0.9065,0.032,0.9039,False
66,1,0.031,0.9065,,,False
67,1,0.0309,0.9066,,,False
68,1,0.0309,0.9066,,,False
69,1,0.0309,0.9066,,,False
70,1,0.0309,0.9067,0.0319,0.9042,False
71,1,0.0309,0.9067,,,False
72,1,0.0309,0.9068,,,False
73,1,0.0308,0.9068,,,False
74,1,0.0308,0.9068,,,False
75,1,0.0308,0.9068,0.0318,0.9043,False
76,1,0.0308,0.9069,,,False
77,1,0.0308,0.9069,,,False
78,1,0.0308,0.9069,,,False
79,1,0.0308,0.9069,,,False
80,1,0.0308,0.9069,0.0318,0.9047,False
81,1,0.0307,0.907,,,False
82,1,0.0307,0.907,,,False
83,1,0.0307,0.907,,,False
84,1,0.0307,0.907,,,False
85,1,0.0307,0.907,0.0317,0.9047,True
86,1,0.0307,0.907,,,False
87,1,0.0307,0.9071,,,False
88,1,0.0307,0.9071,,,False
89,1,0.0307,0.9071,,,False
90,1,0.0307,0.9071,0.0317,0.9047,False
91,1,0.0307,0.9071,,,False
92,1,0.0307,0.9071,,,False
93,1,0.0307,0.9071,,,False
94,1,0.0307,0.9071,,,False
95,1,0.0307,0.9071,0.0317,0.9047,False
96,1,0.0307,0.9071,,,False
97,1,0.0307,0.9071,,,False
98,1,0.0307,0.9071,,,False
99,1,0.0307,0.9071,,,False
100,1,0.0307,0.9071,0.0317,0.9048,False
