epoch,n_buckets,train_loss,train_acc,val_loss,val_acc,is_best
25,1,0.0191,0.9597,,,False
26,1,0.019,0.9599,,,False
27,1,0.0188,0.9601,,,False
28,1,0.0187,0.9603,,,False
29,1,0.0185,0.9605,,,False
30,1,0.0184,0.9607,0.0181,0.9605,False
31,1,0.0182,0.9609,,,False
32,1,0.018,0.9611,,,False
33,1,0.0178,0.9613,,,False
34,1,0.0176,0.9616,,,False
35,1,0.0173,0.9619,,,False
36,1,0.0169,0.9623,0.0166,0.963,False
37,1,0.0165,0.9628,,,False
38,1,0.0161,0.9635,,,False
39,1,0.0155,0.9644,,,False
40,1,0.0149,0.9655,,,False
41,1,0.0143,0.9667,,,False
42,1,0.0138,0.9678,0.0137,0.9685,False
43,1,0.0134,0.9687,,,False
44,1,0.0131,0.9695,,,False
45,1,0.0128,0.9701,,,False
46,1,0.0126,0.9707,,,False
47,1,0.0124,0.9711,,,False
48,1,0.0123,0.9715,0.0133,0.9706,False
49,1,0.0121,0.9719,,,False
50,1,0.012,0.9722,,,False
51,1,0.0119,0.9725,,,False
52,1,0.0118,0.9727,,,False
53,1,0.0117,0.9729,,,False
54,1,0.0116,0.9731,0.0127,0.9714,False
55,1,0.0115,0.9732,,,False
56,1,0.0115,0.9734,,,False
57,1,0.0114,0.9735,,,False
58,1,0.0114,0.9737,,,False
59,1,0.0113,0.9738,,,False
60,1,0.0113,0.9739,0.0128,0.9715,False
61,1,0.0112,0.974,,,False
62,1,0.0112,0.9741,,,False
63,1,0.0111,0.9742,,,False
64,1,0.0111,0.9743,,,False
65,1,0.0111,0.9743,,,False
66,1,0.011,0.9744,0.0127,0.9717,False
67,1,0.011,0.9745,,,False
68,1,0.011,0.9746,,,False
69,1,0.011,0.9746,,,False
70,1,0.0109,0.9747,,,False
71,1,0.0109,0.9747,,,False
72,1,0.0109,0.9748,0.0129,0.9716,False
73,1,0.0109,0.9748,,,False
74,1,0.0108,0.9749,,,False
75,1,0.0108,0.9749,,,False
76,1,0.0108,0.975,,,False
77,1,0.0108,0.975,,,False
78,1,0.0108,0.9751,0.0134,0.9707,False
79,1,0.0107,0.9751,,,False
80,1,0.0107,0.9752,,,False
81,1,0.0107,0.9753,,,False
82,1,0.0107,0.9753,,,False
83,1,0.0106,0.9753,,,False
84,1,0.0106,0.9754,0.0127,0.972,False
85,1,0.0106,0.9754,,,False
86,1,0.0106,0.9754,,,False
87,1,0.0106,0.9755,,,False
88,1,0.0105,0.9755,,,False
89,1,0.0105,0.9756,,,False
90,1,0.0105,0.9756,0.0128,0.9718,False
91,1,0.0105,0.9756,,,False
92,1,0.0105,0.9757,,,False
93,1,0.0105,0.9757,,,False
94,1,0.0105,0.9757,,,False
95,1,0.0104,0.9758,,,False
96,1,0.0104,0.9758,0.0127,0.9721,False
97,1,0.0104,0.9758,,,False
98,1,0.0104,0.9759,,,False
99,1,0.0104,0.9759,,,False
100,1,0.0104,0.9759,,,False
101,1,0.0104,0.9759,,,False
102,1,0.0103,0.976,0.0124,0.9726,False
103,1,0.0103,0.976,,,False
104,1,0.0103,0.976,,,False
105,1,0.0103,0.976,,,False
106,1,0.0103,0.9761,,,False
107,1,0.0103,0.9761,,,False
108,1,0.0103,0.9761,0.0125,0.9724,False
109,1,0.0103,0.9761,,,False
110,1,0.0103,0.9761,,,False
111,1,0.0102,0.9762,,,False
112,1,0.0102,0.9762,,,False
113,1,0.0102,0.9762,,,False
114,1,0.0102,0.9762,0.0122,0.9729,True
115,1,0.0102,0.9762,,,False
116,1,0.0102,0.9763,,,False
117,1,0.0102,0.9763,,,False
118,1,0.0102,0.9763,,,False
119,1,0.0102,0.9763,,,False
120,1,0.0102,0.9763,0.0123,0.9729,False
121,1,0.0102,0.9764,,,False
122,1,0.0102,0.9764,,,False
123,1,0.0101,0.9764,,,False
124,1,0.0101,0.9764,,,False
125,1,0.0101,0.9764,,,False
126,1,0.0101,0.9764,0.0122,0.9729,False
127,1,0.0101,0.9764,,,False
128,1,0.0101,0.9765,,,False
129,1,0.0101,0.9765,,,False
130,1,0.0101,0.9765,,,False
131,1,0.0101,0.9765,,,False
132,1,0.0101,0.9765,0.0123,0.9728,False
