anchor,denominator,missing,MAF_bin,R2_manuscript,R2_revision,R2_delta,Acc_manuscript,Acc_revision,Acc_delta,R2_beagle_manuscript,Num_SNPs_revision,Num_SNPs_manuscript,same_variant_set,revision_run,model_scope
1KGP_chr22,Beagle intersection,5%,<=0.5%,0.9966,0.9462046755016483,-0.05039532449835171,1.0,0.9994788015856754,-0.0005211984143246307,0.8989,62625.0,62625,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,5%,0.5%~1%,0.9965,0.9710004165120991,-0.025499583487900934,0.9999,0.9994796955279743,-0.0004203044720256788,0.8981,41501.0,41501,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,5%,1%~10%,0.9915,0.970362964592058,-0.021137035407942095,0.9989,0.9968288072648818,-0.0020711927351182435,0.9122,90533.0,90533,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,5%,10%~20%,0.9952,0.9692834709317876,-0.0259165290682124,0.9977,0.988725067320691,-0.008974932679309044,0.9095,17410.0,17410,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,5%,20%~30%,0.9947,0.9635885333026205,-0.03111146669737952,0.9973,0.9863316834366961,-0.010968316563303881,0.8758,11479.0,11479,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,5%,30%~40%,0.9948,0.9629498276767537,-0.03185017232324627,0.9974,0.9869556480094231,-0.010444351990576806,0.8506,9555.0,9555,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,5%,40%~50%,0.9943,0.9622985147782077,-0.03200148522179225,0.9972,0.9875724102792928,-0.009627589720707208,0.8305,8010.0,8010,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,5%,Overall,0.9957,0.9766025876098,-0.01909741239020002,0.9991,0.9961897128765814,-0.0029102871234185645,0.9212,241113.0,241113,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,15%,<=0.5%,0.9655,0.8254643233838616,-0.14003567661613847,0.9995,0.9980222470142097,-0.001477752985790337,0.8925,62625.0,62625,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,15%,0.5%~1%,0.9344,0.8488232714768159,-0.0855767285231841,0.9982,0.9966045682042447,-0.0015954317957552755,0.889,41501.0,41501,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,15%,1%~10%,0.9698,0.9053282385455818,-0.06447176145441824,0.9961,0.9897291686327375,-0.006370831367262464,0.9085,90533.0,90533,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,15%,10%~20%,0.9849,0.9086082537030727,-0.07629174629692725,0.9927,0.9658665350464347,-0.02683346495356531,0.9079,17410.0,17410,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,15%,20%~30%,0.9836,0.890791419703663,-0.09280858029633698,0.9915,0.9579100249300785,-0.03358997506992156,0.8746,11479.0,11479,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,15%,30%~40%,0.9836,0.8876199767628806,-0.0959800232371194,0.9915,0.9594452502654568,-0.03205474973454325,0.8491,9555.0,9555,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,15%,40%~50%,0.9821,0.8855600471080317,-0.09653995289196826,0.9912,0.9612496420032626,-0.029950357996737398,0.8292,8010.0,8010,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,15%,Overall,0.9844,0.9257500929751282,-0.05864990702487183,0.9965,0.9876824342868291,-0.008817565713170938,0.9194,241113.0,241113,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,25%,<=0.5%,0.8495,0.6377934606847314,-0.21170653931526862,0.9977,0.9952727042745941,-0.002427295725405898,0.8698,62625.0,62625,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,25%,0.5%~1%,0.8619,0.7241358934437717,-0.13776410655622828,0.9962,0.993504058066431,-0.002695941933568924,0.8778,41501.0,41501,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,25%,1%~10%,0.9443,0.8371324818180087,-0.10716751818199133,0.9928,0.9821894801098864,-0.010610519890113634,0.9033,90533.0,90533,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,25%,10%~20%,0.972,0.846045783036344,-0.12595421696365594,0.9866,0.9413395998541113,-0.045260400145888724,0.9052,17410.0,17410,True,v3low_ref_g22,genome-wide single model
1KGP_chr22,Beagle intersection,25%,20%~30%,0.9699,0.8155036564036472,-0.1543963435963528,0.9844,0.9268720276217186,-0.057527972378281444,0.8712,11479.0,11479,True,v3low_ref_g22,genome-wide single model
