model,dataset,chr,denominator,missing,MAF_bin,R2,Acc,Num_SNPs,Num_SNPs_manuscript,R2_manuscript,R2_minus_manuscript,same_variant_set
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,5%,0.1%~0.5%,0.9462046755016483,0.9994788015856754,62625.0,62625,0.9966,-0.05039532449835171,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,5%,0.5%~1%,0.9710004165120991,0.9994796955279743,41501.0,41501,0.9965,-0.025499583487900934,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,5%,1%~10%,0.970362964592058,0.9968288072648818,90533.0,90533,0.9915,-0.021137035407942095,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,5%,10%~20%,0.9692834709317876,0.988725067320691,17410.0,17410,0.9952,-0.0259165290682124,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,5%,20%~30%,0.9635885333026205,0.9863316834366961,11479.0,11479,0.9947,-0.03111146669737952,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,5%,30%~40%,0.9629498276767537,0.9869556480094231,9555.0,9555,0.9948,-0.03185017232324627,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,5%,40%~50%,0.9622985147782077,0.9875724102792928,8010.0,8010,0.9943,-0.03200148522179225,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,5%,Overall,0.9766025876098,0.9961897128765814,241113.0,241113,0.9957,-0.01909741239020002,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,15%,0.1%~0.5%,0.8254643233838616,0.9980222470142097,62625.0,62625,0.9655,-0.14003567661613847,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,15%,0.5%~1%,0.8488232714768159,0.9966045682042447,41501.0,41501,0.9344,-0.0855767285231841,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,15%,1%~10%,0.9053282385455818,0.9897291686327375,90533.0,90533,0.9698,-0.06447176145441824,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,15%,10%~20%,0.9086082537030727,0.9658665350464347,17410.0,17410,0.9849,-0.07629174629692725,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,15%,20%~30%,0.890791419703663,0.9579100249300785,11479.0,11479,0.9836,-0.09280858029633698,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,15%,30%~40%,0.8876199767628806,0.9594452502654568,9555.0,9555,0.9836,-0.0959800232371194,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,15%,40%~50%,0.8855600471080317,0.9612496420032626,8010.0,8010,0.9821,-0.09653995289196826,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,15%,Overall,0.9257500929751282,0.9876824342868291,241113.0,241113,0.9844,-0.05864990702487183,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,25%,0.1%~0.5%,0.6377934606847314,0.9952727042745941,62625.0,62625,0.8495,-0.21170653931526862,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,25%,0.5%~1%,0.7241358934437717,0.993504058066431,41501.0,41501,0.8619,-0.13776410655622828,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,25%,1%~10%,0.8371324818180087,0.9821894801098864,90533.0,90533,0.9443,-0.10716751818199133,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,25%,10%~20%,0.846045783036344,0.9413395998541113,17410.0,17410,0.972,-0.12595421696365594,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,25%,20%~30%,0.8155036564036472,0.9268720276217186,11479.0,11479,0.9699,-0.1543963435963528,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,25%,30%~40%,0.8079599521655019,0.9285978913355338,9555.0,9555,0.9697,-0.16174004783449814,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,25%,40%~50%,0.8037357370012552,0.9315196941718923,8010.0,8010,0.9669,-0.16316426299874476,True
1KGP chr22 genome-wide,1KGP,22,Beagle intersection,25%,Overall,0.8698832972551752,0.9781448418888962,241113.0,241113,0.9694,-0.09951670274482483,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,5%,0.1%~0.5%,0.9918992966025874,0.999890287865334,62625.0,62625,0.9966,-0.004700703397412687,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,5%,0.5%~1%,0.9939643925212592,0.9998564940591627,41501.0,41501,0.9965,-0.00253560747874082,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,5%,1%~10%,0.9832785915103083,0.998008148811761,90533.0,90533,0.9915,-0.008221408489691773,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,5%,10%~20%,0.9905589584172917,0.9958910900819641,17410.0,17410,0.9952,-0.004641041582708283,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,5%,20%~30%,0.9904564537971355,0.9955467254857081,11479.0,11479,0.9947,-0.00424354620286449,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,5%,30%~40%,0.990987923913884,0.9958030984646954,9555.0,9555,0.9948,-0.003812076086116001,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,5%,40%~50%,0.9896920917099857,0.9955396375569827,8010.0,8010,0.9943,-0.004607908290014229,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,5%,Overall,0.9919275471930682,0.9983757044071867,241113.0,241113,0.9957,-0.0037724528069318364,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,15%,0.1%~0.5%,0.9445228970651506,0.9992100969164333,62625.0,62625,0.9655,-0.020977102934849445,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,15%,0.5%~1%,0.9142177353196859,0.9977371015751785,41501.0,41501,0.9344,-0.020182264680314144,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,15%,1%~10%,0.9426412855132619,0.9931272391246337,90533.0,90533,0.9698,-0.027158714486738122,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,15%,10%~20%,0.9694298933654717,0.986651175081844,17410.0,17410,0.9849,-0.015470106634528302,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,15%,20%~30%,0.9690770127622123,0.9855614445997215,11479.0,11479,0.9836,-0.014522987237787777,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,15%,30%~40%,0.9700484734862996,0.9860950444329043,9555.0,9555,0.9836,-0.013551526513700396,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,15%,40%~50%,0.9663045362394337,0.9854000623428573,8010.0,8010,0.9821,-0.015795463760566286,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,15%,Overall,0.9711585069619026,0.9941374274352333,241113.0,241113,0.9844,-0.013241493038097407,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,25%,0.1%~0.5%,0.8090395023261556,0.9971927981805716,62625.0,62625,0.8495,-0.04046049767384441,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,25%,0.5%~1%,0.8244178322552003,0.9953291396860076,41501.0,41501,0.8619,-0.03748216774479973,True
1KGP chr22 specialised,1KGP,22,Beagle intersection,25%,1%~10%,0.8969978683060682,0.9876113069120565,90533.0,90533,0.9443,-0.047302131693931826,True
